Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2012-06-01,77.4916,1.030927835,0.376,4.2893,7.923930269,2.0223,1.2877,1.038,519.69,6.3308,1833.8,20.925,6.0304,0.811556565,246.6,130.92,55.92,9333.0,,3.915,78.64,148.06,1181.6,0.2807,1.9324,3.1845,29.9145,14.3949,89.87,1.328197636,6.1471,0.3845,93.7875,2.707,43.63,3.5777,3.64,33.7384,3.75,1.2877,8.69165,132.1045,7.285,0.9743,31.84,6.3954,,3.6725,0.65269891,1,21.438
2012-06-04,77.1231,1.033591731,0.376,4.2893,7.849293564,2.035,1.2896,1.0418,519.6,6.3276,1834.71,20.693,5.9744,0.804052424,245.17,129.77,55.52,9463.0,,3.892,78.17,148.02,1180.3,0.2806,1.9324,3.198,29.9548,14.2443,88.85,,6.1132,0.3845,93.9302,2.703,43.543,3.5431,3.64,34.0395,3.75,1.2896,8.5308,,7.2508,0.9655,,6.4134,1.624,3.6725,,1,21.431
2012-06-05,77.1918,1.021033286,0.376,4.2893,7.818608288,2.041,1.2864,1.0414,515.58,6.3225,1815.54,20.694,,0.804569957,244.08,129.8,55.56,9463.0,12260.0,3.896,78.35,148.76,1181.8,0.28015,1.9324,3.1935,29.9383,14.2319,88.76,1.321003963,6.1103,0.3845,93.8954,2.701,43.479,3.5359,3.64,33.2001,3.75,1.2864,8.45655,131.7844,7.2058,0.9655,31.589,6.381,1.6145,3.6725,,1,21.465
2012-06-06,77.1123,1.017397497,0.376,,7.800312012,2.0266,1.2805,1.0297,512.47,6.3261,,20.474,5.953,0.800961153,239.65,129.16,55.5,9465.0,12260.0,3.887,78.8,148.83,,0.28025,1.9324,3.1765,29.9706,14.1116,89.13,1.319957761,6.0925,0.3845,94.0691,2.682,43.389,3.4703,3.64,32.7889,3.75,1.2805,8.40805,130.8369,,0.9607,31.48,6.3959,,3.6725,0.645744543,1,21.635
2012-06-07,76.9117,1.003814495,0.376,,7.710100231,2.0183,1.2757,1.0244,508.28,6.317,,20.106,5.9019,0.793965859,236.77,128.7,55.15,9375.0,12260.0,3.871,79.35,148.89,1178.4,0.28015,1.9324,3.167,29.9355,,88.59,1.298701299,6.025,0.3845,94.3211,2.674,43.295,,3.64,32.1922,3.75,1.2757,8.2581,130.1697,7.1755,0.9556,31.461,6.4054,1.6087,3.6725,0.645286184,1,21.641
2012-06-08,77.2696,1.01502233,0.376,4.2893,7.830853563,2.0183,1.2823,1.0332,501.74,6.3188,1766.91,20.44,5.9608,0.802053256,239.04,129.74,55.36,9433.0,,3.882,79.65,148.64,1170.7,,1.9324,3.182,29.9248,14.0351,88.0,1.301744337,6.0952,0.3845,94.1336,2.683,43.122,3.4566,3.64,32.7358,3.75,1.2823,8.47085,130.1486,7.1864,0.9637,31.78,,,3.6725,0.648340249,1,21.649
2012-06-11,77.2703,,0.376,4.2893,7.751937984,2.0353,1.2768,1.0283,504.08,6.3169,,20.249,5.9255,0.797193878,234.24,128.89,55.24,9433.0,12260.0,3.864,79.63,148.64,1173.0,,1.9324,3.1645,29.9487,13.9625,88.69,1.286670098,6.0236,0.3845,94.3505,2.681,43.237,3.4072,3.64,,3.75,1.2768,8.3494,130.3868,7.0727,0.9552,31.567,6.4008,1.6145,3.6725,0.64337644,1,21.495
2012-06-12,77.4287,1.010305112,0.376,4.2893,7.794232268,2.0348,1.2831,1.0268,501.85,6.3292,1776.26,20.558,5.9497,0.800512328,237.28,129.41,56.05,9448.0,12260.0,3.889,79.24,148.7,1167.0,0.28035,1.9324,3.181,30.0719,14.006,89.2,1.302592158,6.0411,0.3845,94.2726,2.684,,3.4552,3.64,,3.75,1.2831,8.41245,131.2043,7.0777,0.9599,31.666,6.4036,1.5946,3.6725,0.643997939,1,21.505
2012-06-13,77.3986,1.005429318,0.376,4.2893,7.776049767,2.0564,1.2819,1.027,504.03,6.3271,1776.47,20.405,5.9293,0.797829903,237.16,129.22,55.85,9455.0,12260.0,3.882,79.64,148.83,1170.5,0.28035,1.9324,3.1815,30.2132,13.97,89.4,1.285016705,5.9929,0.3845,94.4552,2.677,43.004,3.4591,3.64,32.7331,3.75,1.2819,8.40605,132.3251,7.0644,0.9582,31.604,6.4044,1.6046,3.6725,0.642549637,1,21.602
2012-06-14,77.4549,1.004419446,0.376,4.2893,7.788161994,2.0604,1.2814,1.0247,502.07,6.3191,1783.45,20.345,5.9208,0.796749263,236.97,127.98,55.79,9468.0,12260.0,3.881,79.43,148.9,1167.8,0.28,1.9324,3.183,30.3402,13.9974,88.9,1.289324394,5.9812,0.3845,94.424,2.671,42.781,3.442,3.64,32.5766,3.75,1.2814,8.4316,132.0079,7.0343,0.9549,31.559,6.4016,1.6002,3.6725,0.644039415,1,21.639
