Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2013-09-03,81.5492,1.107051921,0.376,6.2842,8.741258741,2.3643,1.2727,1.0533,509.75,6.1718,1935.43,19.527,5.6628,0.759186152,228.5,120.69,66.8875,10983.0,24820.0,3.632,99.66,153.29,1104.1,0.2846,1.9324,3.2615,30.8693,13.4394,105.76,1.279426817,6.0742,0.3845,104.9813,2.807,44.562,3.2433,3.64,33.3693,3.75,1.2727,10.328,133.0,6.6198,0.9356,32.026,6.3896,,3.6725,0.642054575,1,22.646
2013-09-04,81.5453,1.099263493,0.376,6.2842,8.710801394,2.3897,1.2782,1.0482,510.38,6.1729,1946.28,19.572,5.6626,0.759243793,228.71,121.0,67.0289,11093.0,24835.0,,99.58,153.13,1095.9,0.28475,1.9324,3.3025,30.9063,13.3065,108.73,1.281229981,6.0766,0.3845,104.9913,2.807,44.334,3.2387,3.64,33.4656,3.75,1.2782,10.25565,133.0,6.6215,0.9365,32.206,6.4468,1.6599,3.6725,0.640532923,1,22.582
2013-09-05,81.878,1.091583888,0.376,6.2842,8.718395815,2.3538,1.2756,1.05,508.56,6.1696,1938.99,19.485,5.6494,0.757460991,228.67,121.13,66.043,11125.0,24830.0,,99.7,153.07,1099.8,0.2846,1.9324,3.28,30.9375,13.4079,107.53,1.266624446,6.096,0.3845,104.846,2.808,44.542,3.2463,3.64,33.3901,3.75,1.2756,10.28935,132.9972,6.6241,0.9381,32.208,6.4225,1.6603,3.6725,0.640409862,1,22.644
2013-09-06,81.913,1.095170299,0.376,6.2842,8.643042351,2.3314,1.2797,1.039,509.46,6.1728,1952.11,19.638,5.6864,0.762369444,229.43,122.11,65.96,11200.0,,,99.8,153.01,1093.8,0.2846,1.9324,3.3215,30.9673,13.2413,106.16,1.267427123,6.1005,0.3845,104.782,2.804,44.403,3.2732,3.64,33.4338,3.75,1.2797,10.12435,132.955,6.6637,0.9453,32.404,6.4154,1.6622,3.6725,0.642467074,1,22.535
2013-09-09,82.05,1.08802089,0.376,6.2842,8.576329331,2.2979,1.2747,1.0366,506.97,6.1642,1947.99,19.576,5.6533,0.757920267,227.74,121.49,,11188.0,24850.0,3.625,99.67,153.09,1095.4,0.2846,1.9324,3.3155,31.0025,13.1471,104.37,1.252034556,6.08,0.3845,104.7641,2.796,44.514,3.2357,3.64,33.3243,3.75,1.2747,9.9897,132.9667,6.6356,0.9369,32.299,6.4074,1.6638,3.6725,0.638039941,1,22.386
2013-09-10,82.0,1.078167116,0.376,6.2842,8.591065292,2.2868,1.2688,1.0357,507.74,6.1612,1946.06,19.514,5.6333,0.755287009,226.21,121.29,64.2162,11180.0,24753.0,3.604,99.7,153.37,1088.2,0.28425,1.9324,3.272,,13.1119,104.37,1.247816321,5.9373,0.3845,104.837,2.794,44.325,3.2181,3.64,33.06,3.75,1.2688,10.0065,132.9,6.5631,0.9348,32.107,6.4204,1.6566,3.6725,0.636861546,1,22.323
2013-09-11,81.9257,1.076542147,0.376,6.2842,8.547008547,2.2779,1.2702,1.0337,506.8,6.1601,1935.55,19.426,5.6216,0.753693096,225.29,121.47,63.9035,11438.0,24744.0,3.565,100.43,153.57,1084.9,0.2844,1.9324,3.281,31.0021,13.0938,102.7,1.240848741,5.9165,0.3845,104.8332,2.788,43.927,3.1955,3.64,32.9629,3.75,1.2702,9.92335,132.88,6.5472,0.9347,32.131,6.4312,1.6546,3.6725,0.634075201,1,22.341
2013-09-12,81.9414,1.081197967,0.376,6.2842,8.532423208,2.2947,1.2668,1.032,503.92,6.1575,1923.64,19.424,5.6117,0.752445448,226.67,121.34,63.6673,11494.0,24740.0,3.564,99.5,153.37,1087.1,0.284,1.9324,3.2655,30.9528,13.0854,101.06,1.230163612,5.9108,0.3845,104.8407,2.772,43.793,3.1782,3.64,32.6731,3.75,1.2668,9.9376,132.4238,6.5221,0.9306,31.722,6.4056,1.6545,3.6725,0.632471064,1,22.347
2013-09-13,81.9179,1.082837033,0.376,6.2842,8.532423208,2.2769,1.2694,1.0341,501.98,6.1578,1919.25,19.388,5.6091,0.752162467,226.39,121.91,63.789,11395.0,,,99.7,153.29,1083.2,0.284,1.9324,3.2905,30.9059,13.054,101.85,1.2300123,5.9191,0.3845,105.0298,2.772,43.764,3.1696,3.64,32.7406,3.75,1.2694,9.95985,132.2558,6.5292,0.9317,31.842,6.4186,1.6433,3.6725,0.632431065,1,22.374
2013-09-16,81.7222,1.072501073,0.376,6.2842,8.438818565,2.2785,1.2621,1.0316,504.14,6.1554,1919.54,19.289,5.5825,0.748671109,224.07,121.46,62.484,11423.0,24725.0,3.533,,153.38,1085.3,0.28365,1.9324,,30.8504,,101.59,1.219214826,5.9085,0.3845,105.0764,2.762,43.907,3.1435,3.64,32.2907,3.75,1.2621,9.7459,132.0965,6.5116,0.9276,31.676,6.4264,1.6558,3.6725,0.627982919,1,22.128
