Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2015-12-01,108.2598,1.376651982,0.376,6.2842,10.89324619,3.8506,1.4095,1.3372,711.2,6.3986,3142.11,25.493,7.0379,0.943396226,293.05,132.57,66.518,13808.0,30096.0,3.879,123.15,326.56235294117647,1157.7,0.3044,1.9324,4.238,36.2749,16.5104,106.7,1.514463123,8.6807,0.3845,105.5329,3.374,47.168,4.0248,3.64,66.2584,3.75,1.4095,14.4369,143.239,8.6938,1.0288,35.823,6.3654,2.06747,3.6725,0.663217933,1,29.571
2015-12-02,108.3872,1.368738024,0.376,6.2842,10.83423619,3.8745,1.4067,1.336,707.15,6.3986,3131.95,25.492,7.029,0.942329438,293.87,132.58,66.6158,13757.0,30112.5625,3.879,122.92,307.76,1158.1,0.3044,1.9324,4.2255,36.2339,16.5933,106.42,1.499475184,8.6134,0.3845,105.5258,3.369,47.153,4.0305,3.64,66.7402,3.75,1.4067,14.3294,143.2327,8.6938,1.0264,35.789,6.3898,2.06446,3.6725,0.66520322,1,29.573
2015-12-03,107.2639,1.367053999,0.376,6.2842,10.82251082,3.8545,1.4126,1.3394,703.47,6.3977,3166.67,25.326,6.9894,0.937119295,293.66,132.83,66.745,13845.0,30095.0,3.887,123.29,307.93,1159.3,0.3044,1.9324,4.251,36.2643,16.7095,106.58,1.507613448,8.5971,0.3845,105.5301,3.366,47.152,4.04,3.64,67.7691,3.75,1.4126,14.33895,143.2318,8.7025,1.024,35.874,6.3884,2.06191,3.6725,0.669657805,1,29.587
2015-12-04,107.2544,1.365747064,0.376,6.2842,10.83423619,3.797,1.3969,1.3365,701.56,6.3981,3149.12,24.802,6.8431,0.917262888,287.36,129.99,66.8365,13833.0,30112.5625,3.857,122.6,307.08,1167.4,0.3044,1.9324,4.2155,36.1864,16.6757,106.68,1.497902936,8.4842,0.3845,105.4745,3.3812777777777776,47.155,3.9607,3.64,67.6698,3.75,1.3969,14.43935,143.2498,8.5183,0.9995,35.799,6.3788,2.04364,3.6725,0.661550675,1,29.71973684210526
2015-12-07,107.5376,1.363884343,0.376,6.2842,10.8577633,3.7575,1.4003,1.3508,704.553,6.4083,3179.22,24.997,6.9023,0.925154963,288.56,130.41,66.6263,13837.0,30105.0,3.855,123.28,307.04,1156.8,0.30365,1.9324,4.2065,36.1403,16.9044,106.72,1.489203276,8.6285,0.3845,105.1807,3.371,47.081,3.9853,3.64,68.5156,3.75,1.4003,14.47205,143.2529,8.5118,1.0015,36.007777777777775,6.3847,2.02124,3.6725,0.663878377,1,29.582
2015-12-08,107.2308,1.383317195,0.376,6.2842,10.91703057,3.7476,1.4084,1.3593,704.553,6.4182,3287.03,24.841,6.8604,0.91954023,288.7,129.95,66.7983,13853.0,30106.0,3.878,123.14,307.87,1166.4,0.30365,1.9324,4.2645,36.0886,17.0164,106.62,1.506024096,8.7977,0.3845,104.1819,3.3812777777777776,47.112,3.9877,3.64,69.3026,3.75,1.4084,14.6265,143.2426,8.5144,0.9974,35.898,6.3986,2.03074,3.6725,0.666666667,1,29.634
2015-12-09,106.9005,1.385041551,0.376,6.2842,10.88139282,3.7921,1.4054,1.3595,706.34,6.4248,3287.03,24.688,6.8192,0.913993236,287.49,129.22,66.75,13854.6,30105.0,3.885,122.98,309.12,1176.0,0.30355,1.9324,4.2655,36.1341,17.016,106.81,1.506704837,8.7168,0.3845,103.5973,3.368,47.167,3.9705,3.64,69.2,3.75,1.4054,14.54645,143.2214,8.4762,0.9917,35.935,6.4127,2.02628,3.6725,0.663481953,1,29.64
2015-12-10,106.9288,1.372683596,0.376,6.2842,11.11111111,3.758,1.4036,1.3599,704.7,6.4367,3294.02,24.69,6.818,0.91382619,288.69,129.29,66.7905,13954.0,30112.5625,3.867,121.61,326.56235294117647,1178.2,0.3031,1.9324,4.2585,36.101,17.075,106.94,1.47579693,8.6238,0.3845,103.9365,3.3812777777777776,47.153,3.9601,3.64,69.2151,3.75,1.4036,15.2385,143.178,8.4279,0.9862,36.007777777777775,6.4239,2.01669,3.6725,0.658935161,1,29.71973684210526
2015-12-11,107.0279,1.380071764,0.376,6.2842,11.33786848,3.7685,1.4067,1.3696,703.54,6.4551,3259.56,24.676,6.8136,0.913242009,290.23,129.16,66.786,13937.0,30112.5625,3.86,121.92,326.56235294117647,1177.5,0.3031,1.9324,4.2785,36.0643,17.3592,106.81,1.483239395,8.711,0.3845,104.2323,3.374,47.182,3.9718,3.64,69.1755,3.75,1.4067,15.8761,143.2196,8.4979,0.987,36.033,6.4286,2.01543,3.6725,0.660066007,1,29.751
2015-12-14,106.9099,1.389660923,0.376,6.2842,11.14827202,3.8548,1.4117,1.3733,707.11,6.4583,3299.36,24.62,6.7932,0.910498042,288.51,128.98,66.994,14076.0,30108.0,3.856,120.92,322.47,1179.7,0.3032,1.9324,4.3185,36.0349,17.3776,107.02,1.490535102,8.713,0.3845,104.2083,3.377,47.229,3.9695,3.64,70.2244,3.75,1.4117,15.27555,143.276,8.512,0.9824,36.096,6.417,2.01401,3.6725,0.661375661,1,29.79
