Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2016-11-01,,1.30667712,0.376,9.975,10.48218029,3.1805,1.3902,1.3379,,6.775,2998.55,24.508,6.7473,0.907029478,,112.22,66.714,13036.0,31799.0,3.827,104.85,336.0,1144.6,0.303,1.9324,4.1885,,19.1306,106.87,1.396258028,8.1826,0.3845,104.8219,,,,3.64,63.2025,3.75,1.3902,13.4895,147.3963,8.9914,0.9825,35.005,6.7143,2.25374,3.6725,0.817394147,1,28.196
2016-11-02,109.7283,1.311647429,0.376,9.975,10.3950104,,1.39,1.339,651.18,6.7642,3026.68,24.356,6.7053,0.901306895,278.25,111.11,66.8294,13058.0,31797.0,3.811,103.82,337.66,1141.8,0.3026,1.9324,4.196,,,106.8,1.386385692,8.178,0.3845,104.8168,3.378,48.485,3.8954,3.64,63.4166,3.75,1.39,13.3433,147.3963,8.9325,0.9709,35.054,6.7209,2.24424,3.6725,0.812314691,1,
2016-11-03,109.9095,1.304121022,0.376,9.975,10.42752868,3.2047,1.3837,1.3386,653.55,6.7593,3070.54,24.426,6.7251,0.903832249,277.62,111.21,66.6942,13050.0,31796.0,3.815,,338.35,1148.7,0.3023,1.9324,4.187,35.8195,19.2014,106.82,1.371177842,8.1865,0.3845,104.8167,3.375,,3.8965,3.64,63.5043,3.75,1.3837,13.49775,147.4,8.902,0.9736,34.94,6.7356,2.23297,3.6725,0.802471613,1,
2016-11-04,109.911,1.302083333,0.376,9.975,10.46025105,3.2304,1.385,1.3412,650.72,6.7618,3071.12,24.359,6.708,0.901469395,276.41,110.84,66.7219,13103.0,,3.807,103.06,338.84,1140.6,0.3023,1.9324,4.1965,35.7547,19.0792,106.74,1.366867141,8.2122,0.3845,104.7717,3.381,48.336,3.8862,3.64,,3.75,1.385,13.55775,147.73,8.9524,0.9721,34.978,6.7434,2.23419,3.6725,0.800096012,1,28.151
2016-11-07,110.0471,1.303101381,0.376,9.975,10.44932079,3.2443,1.3885,1.3383,654.87,6.7752,,24.424,6.7265,0.903995661,276.77,110.97,66.7301,13082.0,31834.0,3.812,104.44,339.99,1143.4,0.30255,1.9324,4.2095,35.6857,18.6192,106.73,1.365747064,8.2295,0.3845,104.7905,3.372,48.443,3.9132,3.64,63.9074,3.75,1.3885,13.45345,147.7283,9.0048,0.9764,35.033,6.7401,2.23318,3.6725,0.805347507,1,28.029
2016-11-08,110.1248,1.298701299,0.376,9.975,10.40582726,3.2018,1.3902,1.3337,654.66,6.777,3070.4,24.478,6.742,0.905961225,277.08,111.11,66.7073,13090.0,31865.0,3.814,104.45,339.75,1141.6,0.30275,1.9324,4.206,35.6899,18.5089,106.7,1.363884343,8.2219,0.3845,104.7225,3.359,48.545,3.9169,3.64,63.7364,3.75,1.3902,13.34315,147.7085,9.0076,0.9766,34.96,6.7548,2.23889,3.6725,0.806061583,1,28.017
2016-11-09,110.363,1.316482359,0.376,9.975,10.43841336,3.2018,1.388,1.3408,651.32,6.7725,2984.78,24.521,6.7517,0.907276356,276.35,110.21,66.7968,13084.0,31863.0,3.799,101.9,341.18,1137.5,0.30245,1.9324,4.22,35.5872,19.925,106.7,1.354279523,8.2737,0.3845,104.7647,3.376,48.626,3.9305,3.64,63.8928,3.75,1.388,13.42825,147.7471,8.9788,0.9723,34.925,6.7586,2.24132,3.6725,0.803826213,1,28.079
2016-11-10,110.7178,1.305312622,0.376,9.975,10.64962726,3.2252,1.398,1.3475,650.95,6.7919,3012.12,24.804,6.8301,0.917852226,281.35,112.05,66.4273,13118.0,31930.0,3.842,105.9,338.33,1145.8,0.3032,1.9324,4.2515,35.5183,20.4812,106.3,1.370801919,8.3279,0.3845,104.7245,3.4,48.674,3.9856,3.64,63.4161,3.75,1.398,13.8863,147.7471,9.0448,0.9874,35.072,6.769,2.23991,3.6725,0.805801773,1,28.293
2016-11-11,110.7469,1.312680494,0.376,9.975,10.76426265,3.3098,1.41,,656.36,6.8148,3100.12,24.802,6.8253,0.917094644,284.33,112.16,67.0292,13350.0,,3.844,106.7,340.63,1151.0,0.3032,1.9324,4.2775,35.572,21.0511,106.39,1.390047262,8.3591,0.3845,104.7456,3.408,48.666,,3.64,65.2167,3.75,1.41,14.3218,147.75,9.0848,0.9853,35.308,6.779,2.24867,3.6725,0.792361634,1,28.504
2016-11-14,111.2961,1.325205407,0.376,9.975,10.8577633,3.4371,1.4134,1.3582,663.23,6.835,3100.12,25.08,6.9059,0.927902014,287.56,112.91,,13358.0,31999.0,3.852,107.5,,1164.4,0.3037,1.9324,4.33,35.7136,20.8729,107.61,1.411233418,8.4764,0.3845,104.8243,3.415,48.908,4.0805,3.64,65.8591,3.75,1.4134,14.33605,,9.1403,0.995,35.427,6.7608,2.2714,3.6725,0.798084597,1,28.748
