Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Bolivar Soberano   (VES)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Mar-18,114.6284,1.293493727,0.376,35191.8,,9.615384615,3.2614,1.3251,1.2851,593.61,6.3418,2867.94,20.898,6.1186,0.821625175,257.61,101.46,65.2261,13793,37330,,106.68,321.34,,0.3002,1.9324,3.9305,33.0158,18.861,104.3,1.389467834,7.9369,0.3845,110.5765,3.262,52.07,3.4356,3.64,56.4334,3.75,1.3251,11.91905,,8.2709,0.946,,6.7365,2.42701,3.6725,0.727537286,1,28.367
02-Mar-18,114.0776,1.289324394,0.376,35191.8,,9.606147935,3.2608,1.3217,1.2891,596.15,6.3497,2879.05,20.638,6.0493,0.812215724,255.59,100.67,,13746,,,106.25,322.39,1081.9,0.3002,1.9324,3.916,33.186,18.8909,104.28,1.375705049,7.8117,0.3845,110.5743,,52.015,3.42,3.64,56.6616,3.75,1.3217,11.90825,154.978,8.2557,0.935,31.478,6.7392,2.42904,3.6725,0.72513687,1,28.405
05-Mar-18,114.1352,1.28998968,0.376,35191.8,,9.587727709,3.2576,1.3192,1.2977,598.04,6.3415,2879.15,20.642,6.0509,0.812545706,254.52,100.54,65.053,13740,37350,3.456,105.55,321.26,1081.3,0.29975,1.9324,3.899,33.2448,18.8838,104.28,1.383125864,7.8277,0.3845,110.5869,3.249,51.864,3.3995,3.64,57.1,3.75,1.3192,11.92365,155.2269,8.2658,0.9378,31.426,6.7495,2.4303,3.6725,0.723955694,1,28.339
06-Mar-18,113.789,1.286504567,0.376,35191.8,,9.505703422,3.224,1.3177,1.2898,600.51,6.3431,2859.09,20.45,6.0023,0.805736846,254.23,100.2,64.9941,13750,37383,3.469,106.35,319.45,1080.5,0.29975,1.9324,3.9045,33.1965,18.7246,104.18,1.381978994,7.7455,0.3845,110.5811,3.25,51.943,3.3936,3.64,56.5041,3.75,1.3177,11.74325,155.1488,8.2641,0.9383,31.379,6.7442,2.43176,3.6725,0.719502105,1,28.277
07-Mar-18,113.7366,1.281394157,0.376,35191.8,,9.560229446,3.2312,1.3162,1.2947,595.93,6.3257,2845.05,20.47,6,0.805347507,251.77,99.61,64.9627,13763,37415,3.466,105.62,320.19,1075.4,0.2996,1.9324,3.903,33.0406,18.7922,103.94,1.372495196,7.7938,0.3845,110.5823,3.253,51.926,3.3744,3.64,56.8011,3.75,1.3162,11.888,155.0849,8.2253,0.939,31.343,6.7521,2.43007,3.6725,0.721735051,1,28.339
08-Mar-18,113.9936,1.277139208,0.376,39900,,9.56937799,3.2512,1.314,1.2927,601.91,6.3294,2858.88,20.472,5.9983,0.805088157,251.76,99.58,64.9212,13774,37440,3.459,106.12,320.19,1068.7,0.2996,1.9324,3.9055,32.9633,18.7148,103.82,1.373060552,7.8202,0.3845,110.5812,3.254,52.029,3.3935,3.64,,3.75,1.314,11.8845,155.2665,8.244,0.9468,31.306,6.7488,2.43089,3.6725,0.721448669,1,28.349
09-Mar-18,114.2507,1.283367556,0.376,39900,,9.587727709,3.249,1.3182,1.284,605.22,6.3348,2871.36,20.717,6.0609,0.81360345,253.27,100.08,65.0784,13794,,3.453,106.7,320.19,1068.4,0.2996,1.9324,3.9145,,18.5812,104.23,1.378359752,7.8064,0.3845,110.5796,3.258,52.016,3.4132,3.64,,3.75,1.3182,11.8967,155.5392,8.2537,0.9505,31.371,6.7657,2.4312,3.6725,0.723301146,1,28.358
12-Mar-18,114.1877,1.270809506,0.376,39900,,9.56937799,3.26,1.3143,1.283,603.56,6.3223,2866.93,20.688,6.0556,0.812875955,253.16,99.98,65.0199,13768,37534,3.44,106.62,320.55,1069.2,0.29995,1.9324,3.9085,,18.6199,104.27,1.370614035,7.7748,0.3845,110.5777,3.256,52.094,3.4066,3.64,56.6122,3.75,1.3143,11.8667,155.478,8.2423,0.9507,31.316,6.7691,2.43582,3.6725,0.721813195,1,28.365
13-Mar-18,113.9989,1.27064803,0.376,39900,,9.541984733,3.2486,1.3131,1.2912,603.85,6.3324,2851.84,20.577,6.0176,0.807884957,252.78,99.81,64.9567,13757,37610,3.444,106.36,321.6,1064.3,0.29985,1.9324,3.908,33.1017,18.5604,104.06,1.368738024,7.7402,0.3845,110.5863,3.257,52.008,3.4143,3.64,56.9359,3.75,1.3131,11.8154,155.6067,8.2433,0.9479,31.264,6.7727,2.43514,3.6725,0.719735137,1,28.365
14-Mar-18,113.9621,1.270486596,0.376,36558.375,,9.523809524,3.2578,1.3101,1.2944,602.19,6.3168,2848.38,20.573,6.0226,0.808472795,252.01,99.54,64.9875,13739,37695,3.431,106.45,321.98,1065.8,0.29965,1.9324,3.8965,33.0965,18.5854,103.83,1.363512408,7.7393,0.3845,110.5795,3.26,52.038,3.4055,3.64,56.9372,3.75,1.3101,11.7501,155.7566,8.216,0.9451,31.173,6.7795,2.43361,3.6725,0.715512307,1,28.352
15-Mar-18,114.0618,1.269680041,0.376,36558.375,,9.560229446,3.2853,1.3101,1.3032,601.16,6.3236,2845.76,20.594,6.0357,0.810307106,,99.57,64.9366,13748,37693,3.434,106.01,321.78,1065.8,0.29965,1.9324,3.9145,33.0396,18.7023,103.72,1.366120219,7.7042,0.3845,110.5785,3.26,52.056,3.4117,3.64,57.0188,3.75,1.3101,11.83825,155.8155,8.1749,0.9459,31.157,6.7472,2.4313,3.6725,0.717926628,1,28.382
16-Mar-18,114.0933,1.283697047,0.376,36558.375,,9.596928983,3.2899,1.3148,1.3088,603.54,6.3261,2850.04,20.666,6.0553,0.812942037,,99.52,64.8737,13765,,3.452,105.9,322.72,1065.8,0.29965,1.9324,3.924,32.9976,18.7216,103.9,1.37760022,7.7156,0.3845,110.5878,3.266,52.073,3.4214,3.64,57.4942,3.75,1.3148,11.83825,155.9768,8.1917,0.9496,31.212,6.7383,2.42918,3.6725,0.715947736,1,28.401
19-Mar-18,114.0986,1.300221038,0.376,,,9.643201543,3.2905,1.3182,1.3079,607.6,6.331,,20.661,6.0512,0.812413681,253.16,99.61,65.0375,13765,37690,3.468,105.83,320.6,1069.6,0.2999,1.9324,3.914,33.0908,,103.9,1.385041551,7.7346,0.3845,110.5768,3.27,52.002,3.4341,3.64,57.5521,3.75,1.3182,,156.0808,8.2237,0.9535,31.22,6.7342,2.42876,3.6725,0.711946462,1,28.446
20-Mar-18,114.2559,1.298195508,0.376,43870.05,,9.606147935,3.2975,1.315,1.3077,609.39,6.331,2852.48,20.707,6.0675,0.814597589,252.69,99.49,65.1993,13761,,3.479,106.11,320.34,1071.2,0.29975,1.9324,3.9155,33.1738,18.7614,104.28,1.381406272,7.7275,0.3845,115.4258,,52.041,3.4296,3.64,57.7033,3.75,1.315,11.95875,156.1535,8.1697,0.9542,31.185,6.7556,,3.6725,0.713877784,1,28.449
21-Mar-18,,,,,,,,,,,6.3308,,,,0.81393456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711769102,1,
22-Mar-18,114.0829,1.291322314,0.376,43870.05,,9.551098376,3.3027,1.3127,1.2908,607.23,6.3197,2850.69,20.624,6.0477,0.811951932,252.57,99.57,65.0622,13737,,3.48,105.7,,1071.4,0.29955,1.9324,3.9095,33.0403,18.5078,104.34,1.381788034,7.7386,0.3845,,3.24,52.076,3.4264,3.64,56.8391,3.75,1.3127,11.8018,155.9482,8.1757,0.9479,31.182,6.7667,2.42641,3.6725,0.704622322,1,28.405
23-Mar-18,113.9832,1.296848658,0.376,43870.05,,9.523809524,3.3035,1.3151,1.2856,607.76,6.3276,2857.88,20.586,6.0326,0.809978941,254.04,99.19,65.1333,13780,,3.491,104.9,,1069.2,0.29955,1.9324,3.913,33.0025,18.5364,104.17,1.383891503,7.7527,0.3845,,3.236,52.158,3.4319,3.64,57.1072,3.75,1.3151,11.75755,156.0539,8.267,0.947,31.25,6.7781,2.423,3.6725,0.708215297,1,28.314
26-Mar-18,113.7314,1.294833614,0.376,,,9.46969697,3.3028,1.3116,1.2886,608.14,6.2965,2849.01,20.506,6.0013,0.805736846,252.37,98.31,64.9055,13776,37686,3.491,104.98,319.26,1080.8,0.29945,1.9324,3.9035,32.9221,18.3268,104.02,1.377979881,7.7039,0.3845,115.5908,3.215,52.338,3.4145,3.64,57.0039,3.75,1.3116,11.6753,156.1428,8.2112,0.9465,31.165,6.7854,2.42069,3.6725,0.702913577,1,28.276
27-Mar-18,113.8259,1.292323598,0.376,,,9.478672986,3.325,1.3067,,606.07,6.2547,2816.33,20.586,6.0188,0.808015514,251.5,98.05,64.7973,13708,37685,3.487,105.63,318.9,1081.2,0.2992,1.9324,3.8755,32.8786,18.3445,103.79,1.37136588,7.7249,0.3845,115.5482,,52.286,3.3921,3.64,57.1747,3.75,1.3067,11.6831,156.1261,8.174,0.9467,31.132,6.7889,2.41726,3.6725,0.708666997,1,
28-Mar-18,113.9884,1.299714063,0.376,,,9.496676163,3.3374,1.3075,1.2902,605.65,6.2815,2780.04,20.533,6.0101,0.806581707,252.25,98.02,65.0441,13745,37694,3.499,105.48,319.33,1072.2,0.29935,1.9324,3.858,32.7756,18.2709,103.97,1.376083666,7.7773,0.3845,115.5434,3.224,52.207,3.3956,3.64,57.5598,3.75,1.3075,11.69285,156.0632,8.2666,0.9514,31.206,6.784,2.41633,3.6725,0.707063565,1,28.354
29-Mar-18,114.0462,1.304631442,0.376,,,9.56937799,3.3232,1.3117,1.2894,605.26,6.2931,,20.641,,0.811622433,253.94,,,13756,37743,3.514,106.58,319.02,1069.4,0.29975,1.9324,3.868,32.9458,,104.28,1.388310426,,0.3845,115.5091,,,3.4201,3.64,57.7626,3.75,1.3117,11.86805,155.9725,8.3596,0.9568,31.249,6.756,2.41579,3.6725,0.711161683,1,
30-Mar-18,114.0409,,0.376,,,,,,,,6.2754,,,,,,,,,37743,,106.19,318.31,1066.5,0.29975,1.9324,3.862,33.2377,,104.28,,,0.3845,115.5052,,,3.4139,3.64,57.2649,3.75,,,,,,31.215,,2.41947,3.6725,,1,
