Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
02-Jan-20,119.1599,1.427959446,,4.0207,1.3468,1.2992,,6.967,3277.14,22.702,6.6755,0.893415528,71.3429,3.452,,1157.8,,4.0865,,18.8817,,8.7919,0.3845,3.301,50.802,3.8,3.64,,3.75,1.3468,14.02745,9.3341,,30.11,6.7624,3.6725,0.757661856,1,37.194
03-Jan-20,119.3759,1.435544071,,4.0516,1.3491,1.2988,,6.9741,3258.84,22.753,6.7041,0.897102359,71.6949,3.467,109.12,1156.9,,4.0995,36.4983,18.8673,1.493205913,8.8199,,3.308,50.646,3.8213,,,,1.3491,14.30955,9.4068,0.97365,30.161,6.7686,,0.765872712,1,37.307
06-Jan-20,119.3601,1.439884809,10.70663812,4.0548,1.3505,1.297,758.49,6.9755,,22.601,6.6761,0.893335716,72.0919,3.475,108.05,1162.7,0.30305,4.108,36.4697,18.827,1.500375094,8.7983,0.3845,3.32,50.872,,3.64,,3.75,1.3505,14.2453,,0.9691,30.145,6.7737,3.6725,0.760167237,1,
07-Jan-20,119.1596,1.443418014,10.64962726,4.0835,1.3483,1.3009,771.82,6.9453,3262.05,22.626,6.6891,0.89509488,71.7764,3.467,108.44,1169.6,0.30295,4.0955,36.4569,18.8852,1.50060024,8.821,0.3845,3.325,51.161,3.7861,3.64,,3.75,1.3483,14.263,9.4102,0.97045,30.14,6.7672,3.6725,0.760600875,1,37.473
08-Jan-20,119.4076,1.455392228,10.70663812,4.0666,,1.3026,773.12,6.9394,3264.26,22.739,6.7234,0.89968511,72.0178,3.465,107.82,1165.3,0.30305,4.104,36.4897,18.798,1.508750754,8.8626,0.3845,3.318,50.841,3.8123,3.64,,3.75,,14.23595,9.4397,0.97215,30.285,6.7789,3.6725,0.76289289,1,37.48
09-Jan-20,119.5762,1.454968718,10.64962726,4.0738,1.3504,1.3079,766.83,6.9285,3254.42,22.733,6.7265,0.900090009,71.4221,3.471,109.22,1174.1,0.30325,4.0913,36.5292,18.8453,1.503985562,8.8807,0.3845,3.319,50.956,3.8251,3.64,61.234,3.75,1.3504,14.1858,9.4539,0.97395,30.305,6.7426,3.6725,0.768255675,1,37.412
10-Jan-20,119.6367,1.454968718,10.66098081,4.0739,1.3507,1.3051,764.69,6.9323,3253.89,22.78,6.738,0.901631954,71.1136,3.473,109.54,1160,,4.083,36.5796,18.7732,1.513775356,8.9032,,3.321,50.603,3.8272,,61.2632,,1.3507,14.24375,9.5007,0.97545,30.258,6.7441,,0.764906108,1,37.287
13-Jan-20,119.5603,1.446340758,10.70663812,4.1303,1.3466,1.3048,770.56,6.8996,3272.62,22.677,6.7169,0.898795614,70.8115,3.47,,1161.1,,4.0645,36.5616,18.8215,1.506477855,8.894,0.3845,3.334,,3.8101,3.64,60.9474,3.75,1.3466,14.37355,9.507,0.9719,30.186,6.7429,3.6725,0.771188401,1,37.438
14-Jan-20,119.4972,1.448855404,10.74113856,4.1437,1.3466,1.3062,777.66,6.8831,3288.05,22.634,6.7234,0.89968511,70.9242,3.47,110.08,1155.7,0.30335,4.0615,36.5533,18.812,1.509206158,8.8997,0.3845,3.328,50.705,3.8019,3.64,61.414,3.75,1.3466,14.4462,9.4735,0.9675,30.263,6.7334,3.6725,0.769349131,1,37.386
15-Jan-20,119.518,1.449485433,10.71811361,4.1616,1.348,1.305,772.29,6.8865,3278.83,22.567,6.7068,0.897504936,70.8753,3.459,109.93,1153.1,0.30335,4.079,36.5383,18.8077,1.513546239,8.8691,0.3845,3.322,50.512,3.7992,3.64,61.4328,3.75,1.348,,9.4749,0.9655,30.264,6.7456,3.6725,0.768521365,1,37.362
16-Jan-20,119.4655,1.447806573,,4.172,1.3467,1.3045,,6.8877,3296.74,22.538,6.6908,0.895335303,70.9065,3.456,109.93,1158.8,0.30335,4.0685,36.4959,18.793,1.507386192,8.869,0.3845,3.321,50.7,3.7968,3.64,61.5694,3.75,1.3467,14.36435,9.4551,0.96275,30.307,6.7594,3.6725,0.765638159,1,37.318
17-Jan-20,119.5077,1.450326323,,4.1831,1.3467,1.3062,773.36,6.8581,3313.4,22.638,6.7275,0.900252071,71.0436,3.454,110.2,1159.6,,4.0625,36.5397,18.7388,1.506931887,8.9026,,3.319,50.76,3.8053,,61.5333,,1.3467,14.39945,9.4897,0.96655,30.458,6.7635,,0.766988802,1,37.334
21-Jan-20,119.7027,1.456664239,10.78748652,4.2008,1.3491,1.3067,769.93,6.9058,3320.77,22.552,6.7229,0.89968511,71.1825,3.455,110,1158.8,0.30365,4.069,36.6351,18.7007,1.514004542,8.9393,0.3845,3.317,50.944,3.8284,3.64,61.8552,3.75,1.3491,14.48995,9.5338,0.9675,30.365,6.7676,3.6725,0.765696784,1,37.414
22-Jan-20,119.7343,1.462202076,10.76426265,4.1883,1.3498,1.3116,770.5,6.9019,3347.91,22.668,6.7396,0.901875902,71.2056,3.452,109.88,1164.7,0.30365,4.0735,36.6558,18.6883,1.517680983,8.9818,0.3845,3.314,51.039,3.8202,3.64,61.8343,3.75,1.3498,14.40995,9.5303,0.9716,30.391,6.7744,3.6725,0.763387916,1,37.34
23-Jan-20,119.692,1.456239988,10.72961373,4.1656,1.3489,1.3143,772.12,6.9307,3337.77,22.686,6.7381,0.901631954,71.2437,3.458,109.68,1165.1,0.30365,4.0655,36.6922,18.8018,1.516530179,8.9873,0.3845,3.32,50.942,3.8308,3.64,61.9515,3.75,1.3489,14.3654,9.5076,0.9685,30.455,6.7769,3.6725,0.761962816,1,37.283
24-Jan-20,119.8556,1.460493647,10.74113856,4.1763,,1.314,771.94,,3353.76,22.798,6.7721,0.906207522,,3.455,109.55,,,4.0645,36.7199,18.8313,1.511258879,9.0054,,3.32,50.963,3.8475,,61.8031,,1.3501,14.3669,9.533,,30.514,6.7765,,0.764029492,1,37.224
27-Jan-20,119.9555,,10.78748652,4.219,,1.3182,776.52,,3366.01,22.883,6.778,0.907029478,71.3948,3.458,108.93,,0.30365,,36.744,18.9407,1.518602885,9.1032,0.3845,3.336,50.899,3.8725,3.64,62.338,3.75,,14.5281,9.5789,0.96925,30.67,6.7475,3.6725,0.764350684,1,37.354
28-Jan-20,120.024,1.478852411,10.82251082,4.2058,1.358,1.3179,787.86,,3398.4,22.916,6.7904,0.908677874,71.3263,3.455,108.98,1167.2,0.30365,4.0835,36.8144,18.8022,1.528818224,9.1557,0.3845,3.332,50.872,3.8844,3.64,62.8299,3.75,1.358,14.6672,9.636,0.9708,30.789,6.7415,3.6725,0.768403258,1,37.377
29-Jan-20,120.0768,1.476232654,10.81081081,4.2007,1.3577,1.3196,788.13,,3392.6,22.913,6.7928,0.909008272,71.1875,3.458,109.08,1176.7,0.3038,4.0785,36.847,18.7067,1.529051988,9.1413,0.3845,3.343,50.818,3.8871,3.64,62.3934,3.75,1.3577,14.58935,9.6152,0.97505,30.891,6.7231,3.6725,0.768344218,1,37.391
30-Jan-20,120.0345,1.483899688,10.8577633,4.2517,1.3633,1.3217,788.18,,3395.1,22.894,6.7757,0.906700517,71.4772,3.45,108.95,1176,0.3038,4.0885,36.8687,18.7853,1.533272002,9.2246,0.3845,3.359,50.773,3.8856,3.64,63.0359,3.75,1.3633,14.68175,9.6477,0.97045,31.198,6.7422,3.6725,0.764906108,1,37.583
31-Jan-20,120.9661,1.487209994,10.89324619,4.2689,1.3619,1.3233,797.96,,3411.45,22.81,6.7618,0.904813608,71.5096,3.448,109.03,1183.5,,4.0885,36.8734,18.9082,1.54059467,9.2194,0.3845,,50.904,3.8999,,63.1385,,1.3619,14.906,9.6605,0.96865,31.134,6.7275,,0.761817697,1,
