Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
02-Mar-15,94.8837,1.287332647,0.376,6.2842,9.699321048,2.8782,1.3641,1.2535,617.38,6.1513,2496.99,24.48,6.6476,0.890709896,270.58,133.21,61.8248,12993,27770,3.986,119.86,185.05,1099.5,0.2965,1.9324,3.627,33.4036,14.9862,98.94,1.323276432,7.6677,0.3845,101.9211,3.093,44.082,3.7053,3.64,62.2248,3.75,1.3641,11.72095,132.9,8.3432,0.9561,32.355,6.3223,1.95008,3.6725,0.649182031,1,24.522
03-Mar-15,95.07,1.277791975,0.376,6.2842,9.727626459,2.8655,1.3646,1.2452,617.6,6.1543,2522.03,24.576,6.6738,0.895415473,272.63,133.7,61.8387,12962,27769,3.987,119.77,185.05,1102.5,0.2965,1.9324,3.6275,33.5112,14.9544,99.06,1.331380642,7.7091,0.3845,101.9097,3.091,44.129,3.719,3.64,62.3649,3.75,1.3646,11.81295,132.9,8.3182,0.9606,32.354,6.3522,1.9489,3.6725,0.650787453,1,24.656
04-Mar-15,95.1759,1.280081925,0.376,6.2842,9.727626459,2.9051,1.3626,1.244,617.6,6.1525,2555.08,24.683,6.704,0.89895721,275.85,134.11,61.8543,12963,27804,3.984,119.57,185.05,1100,0.2966,1.9324,3.6285,33.652,15.0756,99.06,1.325029813,7.7441,0.3845,101.9215,3.097,44.089,3.7485,3.64,61.8745,3.75,1.3626,11.7741,132.8986,8.2748,0.9623,32.64525,6.339,1.9524,3.6725,0.651847989,1,24.756
05-Mar-15,96.59740952,1.278772379,0.376,6.2842,9.916838814,2.9804,1.3685,1.2482,619.78,6.150547619,2565.9,24.77,6.7343,0.903423977,276.59,134.96,62.2015,13022,27847,3.997842105,119.8,185.3642857,1096.5,0.2971,1.9324,3.6565,33.8038,15.1686,99.91571429,1.316829076,7.7207,0.3845,101.8517,3.097,44.084,3.7525,3.64,61.8457,3.75,1.3685,11.78115,132.8989524,8.3547,0.969,32.64525,6.3467,1.9565,3.6725,0.655995802,1,24.699
06-Mar-15,95.8407,1.281229981,0.376,6.2842,9.756097561,2.9931,1.3695,1.2616,619.61,6.1533,2543.47,24.899,6.7969,0.912159081,277.24,135.55,62.4498381,12983,27847,3.997842105,120.05,185.2,1100.1,0.2971,1.9324,3.6475,34.0048,15.4445,99.46,1.336005344,7.7917,0.3845,101.8238,3.1,44.159,3.7649,3.64,59.9938,3.75,1.3695,11.8,132.9,8.3464,0.9779,32.416,6.3483,1.963,3.6725,0.658935161,1,24.844
09-Mar-15,96.137,1.299714063,0.376,6.2842,9.920634921,3.0366,1.3813,1.2598,624.68,6.1563,2565.61,25.093,6.8604,0.920810313,279.91,136.51,62.616,13047,27888,4.017,121.03,185.2,1099.5,0.2983,1.9324,3.688,34.3839,15.4544,99.46,1.357404642,7.8992,0.3845,101.8143,3.096,44.118,3.789,3.64,60.23389524,3.75,1.3813,12.11295,132.9,8.4558,0.9843,32.565,6.3283,1.9726,3.6725,0.662120109,1,25.085
10-Mar-15,96.4377,1.307873398,0.376,6.2842,10,3.1018,1.3856,1.2633,628.47,6.1572,2592.86,25.397,6.9395,0.931272118,284.68,137.82,62.6983,13059,27930,4.041,121.46,185.2,1110.3,0.2986,1.9324,3.6965,34.7062,15.5837,100.09,1.359064963,8.0457,0.3845,101.6973,3.098,44.25,3.8345,3.64,60.6649,3.75,1.3856,12.24845,132.9,8.5135,0.9944,32.642,6.3549,1.956625263,3.6725,0.664761018,1,25.139
11-Mar-15,97.313,1.315097317,0.376,6.2842,10.03009027,3.1299,1.3874,1.2764,633.03,6.1597,2618.79,25.8,7.0515,0.945358291,288.13,139.67,62.745,13164,27960,4.049,121.22,185.35,1119.5,0.29908,1.9324,3.714,35.0666,15.4455,100.42,1.373815084,8.184,0.3845,101.7629,3.098,44.263,3.9091,3.64,62.6797,3.75,1.3874,12.25905,132.9,8.5751,1.006,32.744,6.3582,1.9868,3.6725,0.664319405,1,25.1
12-Mar-15,97.2705,1.315097317,0.376,6.2842,9.99000999,3.1162,1.3875,1.2691,637.59,6.1617,2633.65,25.735,7.0268,0.942240648,286.03,139.19,62.5665,13176,27995,4.022,121.62,185.35,1126.6,0.29985,1.9324,3.696,35.36718,15.4003,100.46,1.374003847,8.0948,0.3845,101.7386,3.096,44.342,3.8928,3.64,60.9595,3.75,1.3875,12.1725,132.9,8.5455,1.001,32.855,6.3526,1.956625263,3.6725,0.66728947,1,25.116
13-Mar-15,97.3385,1.303611002,0.376,6.2842,10.12145749,3.1171,1.3839,1.2803,633.54,6.1588,2610.08,25.832,7.0559,0.945894816,287.68,139.21,62.6733,13191,27939.22222,4.015,121.43,185.35,1130.9,0.29985,1.9324,3.6965,35.3701,15.4892,100.01,1.352813853,8.1588,0.3845,101.7296,3.099,44.271,3.9141,3.64,61.3167,3.75,1.3839,12.4071,132.9,8.6123,1.0076,32.821,6.3507,1.993,3.6725,0.67558438,1,25.312
16-Mar-15,97.3809,1.308557969,0.376,6.2842,10.1010101,3.2264,1.3925,1.2765,639.02,6.1615,2661.52,25.856,7.072,0.947238799,289.17,139.8,62.8215,13237,27997,4.019,121.4,185.35,1125.6,0.3,1.9324,3.7075,35.7473,15.2283381,100.75,1.36425648,8.2277,0.3845,101.7457,3.095,44.271,3.926,3.64,62.1497,3.75,1.3925,12.4124,132.9,8.6965,1.0049,32.9,6.3344,1.98199,3.6725,0.676315434,1,25.235
17-Mar-15,97.1518,1.309757695,0.376,6.2842,10.08064516,3.2257,1.3892,1.2769,639.37,6.1585,2675.08,25.565,7.0159,0.94029149,286.46,138.72,62.692,13209,27996,3.997842105,121.4,185.35,1133.9,0.2999,1.9324,3.6995,36.1098,15.4271,100.5,1.356668023,8.2666,0.3845,101.7143,3.094,44.402,3.9034,3.64,61.751,3.75,1.3892,12.35745,132.9,8.6485,1.0028,32.915,6.3503,1.96796,3.6725,0.677966102,1,25.444
18-Mar-15,97.3257,1.312163758,0.376,6.2842,10.09081736,3.2683,1.3887,1.2771,640.84,6.1556,2677.97,25.797,7.0422,0.944108761,286.28,138.76,62.672,13164,27995,4.02,121.33,185.35,1130.1,0.2999,1.9324,3.7,36.2563,15.4192,100.33,1.367053999,8.4026,0.3845,101.7901,3.098,44.461,3.9073,3.64,61.3483,3.75,1.3887,12.38135,132.9,8.6666,1.0028,32.906,6.3426,1.95698,3.6725,0.683293475,1,25.497
19-Mar-15,97.0414,1.293326436,0.376,6.2842,10.01001001,3.2518,1.3809,1.2744,642.18,6.146,2651.49,25.687,6.9784,0.936592676,282.64,138.19,62.4208,13008,27994,4.006,120.5,185.5,1126.6,0.29955,1.9324,3.68,36.3367,15.296,100.31,1.337792642,8.0879,0.3845,101.9043,3.095,44.691,3.8596,3.64,59.8308,3.75,1.3809,12.2646,132.9,8.7185,0.9893,32.733,6.3464,1.95942,3.6725,0.67136623,1,25.582
20-Mar-15,96.8971,1.302422506,0.376,6.2842,9.98003992,3.2642,1.3861,1.2595,638.82,6.1496,2613.38,25.5,6.915,0.927988122,284.21,138.35,62.4923,13075,27994,4.053,120.72,185.5,1114,0.29955,1.9324,3.7225,36.3707,15.0317,100.03,1.348254011,8.0851,0.3845,102.1179,3.087,44.661,3.8645,3.64,60.0341,3.75,1.3861,12.2167,132.9,8.6706,0.9862,32.711,6.3487,1.95653,3.6725,0.676773146,1,25.495
23-Mar-15,96.0824,1.27844541,0.376,6.2842,9.861932939,3.2423,1.3777,1.2516,635.62,6.1448,2586.578571,25.091,6.8324,0.916422287,281.18,136.98,62.2879,13076,27939.22222,4.018,119.96,185.5,1121.7,0.29945,1.9324,3.6883,36.4745,14.9644,99.94,1.318565401,7.9064,0.3845,101.871419,3.077,44.831,3.818,3.64,59.4452,3.75,1.3777,12.00125,132.9,8.6404,0.9724,32.563,6.3386,1.956625263,3.6725,0.670690812,1,25.467
24-Mar-15,96.1291,1.272102786,0.376,6.2842,9.794319295,3.18,1.3697,1.2511,627,6.1398,2587.71,25.017,6.8131,0.913242009,276.59,135.29,62.1988,12972,27939.22222,3.926,119.76,185.5,1115.9,0.2993,1.9324,3.6745,36.5037,14.9347,99.64,1.305483029,7.8479,0.3845,102.0708,3.071,44.821,3.7453,3.64,58.771,3.75,1.3697,11.84745,132.9,8.488,0.9571,32.551,6.3418,1.93882,3.6725,0.670645832,1,25.413
25-Mar-15,96.1667,1.270163851,0.376,6.2842,9.756097561,3.131,1.3661,1.2513,623.65,6.141,2526.79,24.923,6.7991,0.910332271,273.19,135.33,62.3419,12932,27993,3.948,119.78,185.5,1107.1,0.2993,1.9324,3.6575,35.36718,14.9524,99.62,1.309586171,7.8225,0.3845,101.9563,3.064,44.69,3.7355,3.64,57.3879,3.75,1.3661,11.7579,132.9,8.4832,0.957,32.545,6.3532,1.92849,3.6725,0.670465974,1,25.466
26-Mar-15,96.7536,1.279263144,0.376,6.2842,9.803921569,3.1476,1.3706,1.2471,619.79,6.1375,2535.55,24.951,6.8056,0.911327805,271.68,134.73,62.6728,13003,27992,3.944,119.3,185.5,1102.7,0.2992,1.9324,3.679,36.4174,15.1056,99.73,1.314060447,7.8379,0.3845,102.0261,3.075,44.772,3.705,3.64,56.4271,3.75,1.3706,11.87115,132.9,8.4398,0.954,32.585,6.3584,1.93557,3.6725,0.66983723,1,25.648
27-Mar-15,97.252,1.281394157,0.376,6.2842,9.871668312,3.1915,1.3694,1.258,620.68,6.1397,2551.3,25.345,6.8784,0.921149595,277.74,136.63,62.6069,13064,27939.22222,3.973,119.2,185.5,1104.2,0.2992,1.9324,3.6675,36.4062,15.1542,100.28,1.316309069,7.9633,0.3845,101.9551,3.087,44.827,3.789,3.64,57.7279,3.75,1.3694,11.98755,132.9,8.6233,0.9655,32.592,6.3673,1.9318,3.6725,0.6709158,1,25.816
30-Mar-15,97.2777,1.296008294,0.376,6.2842,9.950248756,3.2259,1.377257143,1.2689,622.79,6.1402,2556.85,25.333,6.887,0.92208391,276.03,136.21,62.6305,13086,28050,3.971,119.24,185.65,1104.3,0.298813333,1.9324,3.7085,36.4152,15.2427,99.86,1.323276432,7.9802,0.3845,101.9264,3.092,44.796,3.7685,3.64,58.4643,3.75,1.377257143,12.13615,132.8794,8.52562381,0.980190476,32.604,6.3732,1.94592,3.6725,0.675630025,1,25.816
31-Mar-15,97.6202,1.309929264,0.376,6.2842,9.98003992,3.2601,1.3765,1.2683,626.87,6.1422,2576.05,25.586,6.9427,0.92945441,278.94,137.21,62.5908,13084,28085,3.98,120.11,185.65,1105,0.30025,1.9324,3.7165,36.4036,15.2647,100.28,1.335113485,8.0895,0.3845,101.9223,3.094,44.796,3.8125,3.64,57.65,3.75,1.3765,12.1768,132.9,8.6232,0.9728,32.548,6.348004762,1.94912,3.6725,0.675675676,1,25.677
