Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,
01-May-15,100.5442078,1.265342275,0.376,6.2842,10.14178636,3.336003659,1.375503463,1.2192,654.0535685,6.228485345,2748.781574,24.60823651,6.730405,0.902189099,279.4547934,131.895875,64.14912251,13400.95299,29029.57292,3.858,119.65,220.5280252,1131.677917,0.3015,1.9324,3.908906838,35.11782241,15.88720042,102.6886831,1.318739285,8.077239918,0.3845,102.7712996,3.177863014,45.49871245,3.772984836,3.64,61.32836709,3.75,1.375151899,12.77665477,135.9364916,8.43733,0.96274332,34.28574026,6.352965401,1.96249807,3.6725,0.654578779,1,27.24356696,-1
04-May-15,97.4605,1.276324186,0.376,6.2842,9.823182711,2.9936,1.332,1.2111,611.28,6.1165,2393.58,24.535,6.6935,0.896700143,272.53,132.09,63.81018889,13021,28400,3.89,120.754375,185.8,1069.5,0.3015,1.9324,3.603294118,35.0369,15.494,101.48,1.329433661,7.5888,0.3845,101.756,3.135,44.518,3.632,3.64,50.46418235,3.75,1.332,12.04225,133.4846944,8.3869,0.9352,33.56064706,6.3363,1.93441,3.6725,0.645844363,1,26.479,
05-May-15,97.4432,1.2667849,0.376,6.2842,9.813542689,3.0754,1.336,1.204,614.48,6.118,2408.17,24.61,6.7147,0.899523253,271.62,132.36,63.5194,12993,28430,3.879,120.754375,185.8,1091.272222,0.3018,1.9324,3.606,35.0344,15.3225,101.48,1.326787847,7.5987,0.3845,101.8008,3.144,44.653,3.6205,3.64,51.7574,3.75,1.336,12.02875,133.0714,8.3908,0.9337,33.56064706,6.3384,1.91851,3.6725,0.660851176,1,26.404,
06-May-15,96.727,1.256755058,0.376,6.2842,9.784735812,3.0626,1.3277,1.2009,611.89,6.1156,2386.72,24.41,6.6472,0.89047195,271.36,131.11,63.6425,13040,28429,3.867,120.754375,185.8,1080.5,0.30165,1.9324,3.568,34.8223,15.2825,101.54,1.336898396,7.4915,0.3845,101.7619,3.143,44.626,3.6116,3.64,49.9816,3.75,1.3277,11.9785,133.1,8.308,0.9238,33.256,6.3455,1.92177,3.6725,0.65681445,1,26.317,
07-May-15,97.6674,1.252661907,0.376,6.2842,9.803921569,3.042,1.3285,1.2139,610.61,6.1113,2362.41,24.255,6.6021,0.884564352,270.13,130.44,63.88,13065,28428,3.865,119.4,185.8,1081,0.30145,1.9324,3.5945,34.8201,15.3397,102.71,1.334400854,7.3662,0.3845,101.7552,3.149235294,44.526,3.583,3.64,50.3615,3.75,1.3285,12.0135,133.3,8.2031,0.908,33.385,6.3499,1.93441,3.6725,0.657073395,1,26.381,
08-May-15,97.8503,1.265662574,0.376,6.2842,9.775171065,3.0421,1.3328,1.2088,610.61,6.1147,2369.23,24.56405556,6.6517,0.891186169,269.96,132.14,64.0493,13177,28561.5625,3.868,119.85,185.8,1086.6,0.30145,1.9324,3.603294118,34.8506,15.1424,102.71,1.346257404,7.4695,0.3845,101.7555,3.147,44.65,3.6095,3.64,50.7511,3.75,1.3328,11.99825,133.3,8.3392,0.9244,33.548,6.3252,1.93441,3.6725,0.648340249,1,26.311,
11-May-15,98.1116,1.268230818,0.376,6.2842,9.794319295,2.9966,1.3341,1.2105,605.77,6.1132,2360.58,24.582,6.6979,0.897504936,272.71,132.66,63.8495,13116,28500,3.872,119.75,185.8,1091.3,0.30195,1.9324,3.6015,34.9587,15.2624,102.3,1.350074254,7.561,0.3845,101.8029,3.15,44.69,3.6489,3.64,50.46418235,3.75,1.3341,11.98685,133.3,8.2698,0.9318,33.594,6.3482,1.9196,3.6725,0.645994832,1,26.394,
12-May-15,98.0534,1.261511291,0.376,6.2842,9.842519685,3.0175,1.3396,1.1987,606.92,6.1155,2381.53,24.374,6.6403,0.889758875,272.79,131.65,64.202,13203,28500,3.863,120.2,185.8,1089.9,0.30195,1.9324,3.625,35.0264,15.3211,102.28,1.361099769,7.4691,0.3845,101.8047,3.151,44.609,3.6447,3.64,50.914,3.75,1.3396,12.1212,133.4412,8.2656,0.9235,33.792,6.3546,1.9308,3.6725,0.638080653,1,26.461,
13-May-15,98.0621,1.255177608,0.376,6.2842,9.727626459,3.0389,1.3351,1.1951,607.31,6.1123,2386.77,24.465,6.6509,0.891186169,272.03,131.93,64.1895,13188,28499,3.855,119.76,185.8,1096.2,0.30155,1.9324,3.6045,35.0385,15.2213,102.28,1.357404642,7.4476,0.3845,101.8769889,3.151,44.796,3.63,3.64,49.5366,3.75,1.3351,11.93795,133.5,8.2855,0.9279,33.689,6.3612,1.9204,3.6725,0.637673766,1,26.457,
14-May-15,97.8912,1.231223836,0.376,6.2842,9.806547965,3.0103,1.3209,1.1992,600.5,6.1093,2377.87,24.038,6.702647059,0.875733427,269.99,132.5166667,63.838,13138,28498,3.819,119,185.8,1094.9,0.3011,1.9324,3.5725,34.9346,15.1235,102.46,1.324678765,7.548372222,0.3845,101.8187,3.148,44.761,3.5921,3.64,50.0774,3.75,1.3209,11.81365,133.4,8.3392,0.9086,33.427,6.3584,1.9185,3.6725,0.633031588,1,26.56,
