Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Jul-20,129.1417,1.450326323,,5.3646,1.3939,,821.23,7.063,3756.28,23.81,6.6543,0.892857143,75.5813,3.454,107.69,1198.5,0.3078,4.2815,40.2826,22.8078,1.547508511,9.6193,0.3845,3.533,49.79,3.9591,3.64,70.4413,3.75,1.3939,17.2704,9.3164,0.94735,30.954,6.7141,3.6725,0.806094071,1,42.175
02-Jul-20,129.0162,1.444251878,11.68224299,5.3022,1.3936,1.3586,816.29,7.0631,3723.67,23.59,6.6016,0.886053518,75.4876,3.448,107.48,1201.6,0.3076,4.286,40.2822,22.5225,1.542495758,9.4695,0.3845,3.515,49.813,3.9528,3.64,70.5198,3.75,1.3936,16.89825,9.2693,0.9436,31.067,6.7386,3.6725,0.799584216,1,42.437
07-Jul-20,128.8849,1.437194596,11.69590643,5.3312,1.3925,1.3583,798.79,7.0211,3633.32,23.63,6.6007,0.885739593,74.8609,3.45,107.32,1196.8,,4.274,39.9879,22.6213,1.524157903,9.4267,0.3845,,49.459,3.9689,3.64,72.1719,3.75,1.3925,17.09335,9.2913,0.9441,31.131,6.751,3.6725,0.800320128,1,43.503
08-Jul-20,128.902,1.440714594,11.72332943,5.3476,1.3952,1.3538,793.88,7.0176,3631.54,23.698,6.6005,0.886053518,75.027,3.455,107.67,1192.9,,4.2785,40.0834,22.8225,1.527650474,9.4706,0.3845,3.534,49.406,3.9666,3.64,71.2379,3.75,1.3952,16.98905,9.2289,0.94145,31.272,6.7644,3.6725,0.797893561,1,43.653
09-Jul-20,128.6511,1.431434297,11.61440186,5.2972,1.3905,1.3555,786.18,6.9904,3625.61,23.474,6.5688,0.881678716,75.0031,3.444,107.28,1195.8,0.3072,4.265,40.0496,22.6945,1.521375323,9.361,0.3845,3.517,49.55,3.9486,3.64,70.88,3.75,1.3905,16.8375,9.175,0.93915,31.169,6.7641,3.6725,0.791233137,1,43.647
10-Jul-20,128.8564,1.442793248,11.65501166,5.3434,,,781.74,7.0081,3633.42,23.672,,0.886839305,75.2865,3.457,106.95,1194.5,,4.268,40.1502,22.5342,1.523229246,,,3.502,49.444,3.9646,,71.2298,,,16.90405,9.2414,0.9415,31.307,6.7664,,0.792801364,1,
13-Jul-20,128.6968,1.43307538,11.58748552,5.348,1.3883,1.3567,790.82,7.0006,3615.75,23.52,6.5715,0.88269044,75.1567,3.442,106.83,1202.4,0.30725,4.2605,40.1919,22.4633,1.5211439,9.4139,0.3845,,49.49,3.9564,3.64,70.7479,3.75,1.3883,16.90405,9.182,0.94185,31.308,6.7538,3.6725,0.79330451,1,43.699
14-Jul-20,,1.440507058,11.61440186,5.4282,1.3934,1.3616,788.22,7.0169,3617.22,23.411,6.5448,0.879120879,75.3935,3.442,107.24,1200.3,0.30725,4.2705,40.2018,22.6173,1.530690341,9.4163,0.3845,3.499,49.407,3.957,3.64,71.1275,3.75,1.3934,16.7843,9.1894,0.93965,31.514,6.7428,3.6725,0.798626363,1,43.815
15-Jul-20,,1.428571429,11.54734411,5.3485,,1.3534,787.87,6.9941,3638.22,23.235,6.5069,0.873820343,75.3123,3.431,107.28,1206.4,0.30715,4.2655,40.1204,22.3647,1.523925632,9.2865,0.3845,,49.544,3.9117,3.64,70.7998,3.75,1.3912,16.7843,9.0802,0.94055,31.517,6.7292,3.6725,0.791985111,1,43.924
16-Jul-20,128.3787,1.43000143,11.56069364,5.3554,1.3919,1.3543,,6.998,3611.61,23.385,6.5229,0.876117049,75.242,3.427,106.95,1200.7,0.30715,4.2675,40.1452,22.3032,1.524157903,9.2998,0.3845,3.495,49.466,3.9422,3.64,71.231,3.75,1.3919,16.65185,9.094,0.9459,31.668,6.7339,3.6725,0.797957229,1,43.913
17-Jul-20,128.4072,1.432254368,11.57407407,5.3504,1.3913,1.3574,787.5,6.9996,3627.86,23.351,6.515,0.875043752,75.1015,3.447,107.26,1204.1,,4.2695,40.1809,22.4897,1.528350909,9.275,,,49.544,3.9263,,71.7139,,1.3913,16.66815,9.0757,0.9411,31.702,,,0.796527142,1,
20-Jul-20,128.2075,1.431229426,,5.3629,1.3911,1.3543,787.26,6.9895,,23.233,6.5059,0.873515024,74.9666,3.431,107.5,1205.7,0.30705,4.2648,40.2728,22.6278,1.528818224,9.2645,0.3845,3.509,49.493,3.8997,3.64,71.9628,3.75,1.3911,16.6721,9.0233,0.93865,31.801,6.7531,3.6725,0.793398921,1,43.36
21-Jul-20,128.1733,1.420454545,,5.2277,1.3903,1.3446,786.04,6.9933,3651.93,23.097,6.5061,0.873896705,74.7678,3.421,107.22,1203.7,0.30705,4.2625,,22.3597,1.520450053,9.1701,0.3845,3.491,49.415,3.8812,3.64,70.9668,3.75,1.3903,16.50585,8.9579,0.9375,31.725,6.7525,3.6725,0.78733958,1,43.082
22-Jul-20,127.9829,1.398210291,11.45475372,5.1105,1.3833,1.342,777.66,7.0032,3628.2,22.77,6.4296,0.863707031,74.6848,3.419,106.86,1198.1,0.30665,4.2535,40.3138,22.251,1.504890895,9.0985,0.3845,3.502,49.316,3.8534,3.64,70.7881,3.75,1.3833,16.38695,8.8862,0.93245,31.583,6.7628,3.6725,0.787742723,1,42.622
23-Jul-20,127.9384,1.398405817,11.4416476,5.1641,1.384,1.3392,769.06,6.9961,3627.28,22.766,6.4335,0.864378944,74.7548,3.421,,1193.7,0.30655,4.2525,40.3002,22.3627,1.500150015,9.1687,,3.514,49.339,3.806,3.64,70.963,,1.384,16.62595,8.8606,0.92715,31.643,6.7722,3.6725,0.786596397,1,42.532
