Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Jul-13,80.0916,1.087665869,0.376,6.2842,,2.2156,1.2669,,507.16,6.1805,1929,19.925,5.7215,0.767047634,225.69,123.5,,9934,12260,3.637,99.4,151.81,1145.3,0.28545,1.9324,3.1645,31.0108,12.9131,95,1.293326436,6.0585,0.3845,,2.778,43.257,3.321,3.64,32.8517,3.75,1.2669,9.9243,130.3043,6.6663,0.9449,,6.424,1.6548,3.6725,0.656900742,1,20.541
02-Jul-13,79.9499,1.090274749,0.376,6.2842,8.591065292,2.2297,1.2664,1.053,504.99,6.1773,1929,19.965,5.731,0.768226166,225.62,123.94,59.4145,9940,12260,3.629,99.6,151.88,1136.9,0.28535,1.9324,3.169,30.9934,12.985,94.9,1.277955272,6.0844,0.3845,99.6205,2.785,43.1,3.3222,3.64,32.9475,3.75,1.2664,9.94155,130.5987,6.6665,0.9476,30.935,6.4171,1.6574,3.6725,0.658154535,1,20.628
03-Jul-13,79.896,1.100957833,0.376,6.2842,8.658008658,2.2412,1.2727,1.0523,503.42,6.1803,1919.42,20.079,5.757,0.77166448,227.42,124.81,60.1005,9941,24790,3.651,100.7,151.95,1132.9,0.28585,1.9324,3.182,31.0179,13.0377,95.39,1.290156109,6.1235,0.3845,100.0404,,43.299,3.3516,3.64,33.2204,3.75,1.2727,10.0808,130.5996,6.7464,0.9511,31.063,6.4067,1.6533,3.6725,0.655565753,1,
08-Jul-13,79.8285,1.104850293,0.376,6.2842,8.72600349,2.2645,1.2846,1.0576,506.96,6.1807,1927.4,20.191,5.805,0.778210117,229.81,126.09,61.0455,9960,24777,3.661,101.35,152.05,1141.7,0.2868,1.9324,3.2115,31.138,12.9267,96.35,1.296008294,6.1984,0.3845,100.1162,2.78,43.409,3.3576,3.64,33.321,3.75,1.2846,10.17695,130.5926,6.836,0.9643,31.423,6.4269,1.6724,3.6725,0.67087079,1,20.722
09-Jul-13,78.9151,1.094451133,0.376,6.2842,8.680555556,2.2583,1.277,1.053,506.61,6.173,1926.84,20.122,5.8013,0.77778642,228.22,126.59,60.0745,9960,24783,3.65,101.05,152.23,1151.4,0.28655,1.9324,3.1905,31.1649,12.8654,97.39,1.281558375,6.1445,0.3845,100.0902,2.769,43.661,3.3588,3.64,33.0842,3.75,1.277,10.06375,130.5949,6.7784,0.9677,31.355,6.4129,1.6722,3.6725,0.673128702,1,20.782
10-Jul-13,79.5862,1.088257699,0.376,6.2842,8.673026886,2.2628,1.2779,1.0511,507.65,6.1652,1920.12,20.235,5.821,0.780457348,228.73,126.39,60.133,9970,24789,3.646,101.15,152.31,1144.7,0.2868,1.9324,3.1865,31.1931,12.9494,96.54,1.27665007,6.1305,0.3845,100.0606,2.78,43.584,3.3724,3.64,32.9112,3.75,1.2779,10.0381,130.6175,6.8069,0.9693,31.257,6.4241,1.6726,3.6725,0.671185986,1,21.17
11-Jul-13,79.0572,1.07584723,0.376,6.2842,8.598452279,2.2697,1.2619,1.0389,508.29,6.1599,1920.24,19.863,5.7179,0.766636001,224.85,123.88,59.642,9979,24769,3.615,98.65,152.25,1138.8,0.28525,1.9324,3.156,31.1603,12.8599,96.01,1.261193089,6.0787,0.3845,,2.774,43.408,3.3225,3.64,32.5867,3.75,1.2619,9.93275,130.5825,6.6669,0.9492,31.068,6.421,1.6818,3.6725,0.661725781,1,21.387
12-Jul-13,79.0159,1.090512541,0.376,6.2842,8.628127696,2.2672,1.2606,1.0392,505.73,6.1631,,19.931,5.722,0.767224183,224.23,122.95,59.896,9980,24769,3.607,99.03,152.44,1124.9,0.28525,1.9324,3.165,31.1644,12.8234,95.74,1.274372372,6.071,0.3845,100.163,2.767,43.282,3.3201,3.64,32.6429,3.75,1.2606,10.0344,130.6407,6.6565,0.9495,31.109,6.4253,1.666,3.6725,0.661857171,1,21.354
15-Jul-13,78.1403,1.09805644,0.376,6.2842,,2.267,1.2642,1.0413,504.54,6.1663,1905.25,19.997,5.7313,0.768521365,223.82,122.99,60.051,10024,24785,3.597,,152.61,1122.3,0.2854,1.9324,3.185,31.1258,12.7387,95.3,1.283367556,6.0951,0.3845,100.3248,2.764,43.367,3.2955,3.64,32.622,3.75,1.2642,9.9348,130.9143,6.6722,0.9513,31.156,6.4072,1.6635,3.6725,0.664275276,1,21.133
16-Jul-13,79.1295,1.087665869,0.376,6.2842,,2.2548,1.2618,1.0388,501.59,6.1692,1893.16,19.781,5.6846,0.762311328,223.71,121.69,59.3925,10036,24787,,99.95,152.67,1122.6,0.2854,1.9324,3.182,31.1258,12.6299,95.89,1.282380097,6.0173,0.3845,100.3546,2.759,43.444,3.2735,3.64,32.5417,3.75,1.2618,9.7848,130.9475,6.6709,0.9429,31.076,6.401,1.6662,3.6725,0.662076271,1,20.985
