Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Sep-16,109.4707,1.326611833,0.376,9.975,10.88139282,3.2397,1.3633,1.3107,678.57,6.6801,2956.53,24.252,6.6767,0.897182846,278.15,116.18,66.9539,13269,31256,3.775,103.37,341.06,1117.4,0.3018,1.9324,4.0765,35.3043,18.8523,107.17,1.377410468,8.3483,0.3845,104.7179,3.396,46.552,3.9116,3.64,65.2566,3.75,1.3633,14.7172,145.5564,8.5931,0.9844,34.627,,2.2123,3.6725,0.754944889,1,28.697
02-Sep-16,109.3735,1.322926313,0.376,9.975,10.76426265,3.2466,1.3587,1.2999,680.28,6.6797,2986.36,24.138,6.6473,0.893415528,277.46,115.79,66.8405,13261,,3.768,103.3,341.97,1119.3,0.3018,1.9324,4.0845,35.3392,18.6589,107.16,1.373249107,8.324,0.3845,104.5497,,46.627,,3.64,65.8684,3.75,1.3587,14.45365,145.5118,8.5614,0.9797,34.609,6.697,2.2121,3.6725,0.754318473,1,
06-Sep-16,109.1552,1.310787783,0.376,9.975,10.68376068,3.2715,1.3575,1.2843,673.61,6.6804,2957.56,24.211,6.6686,0.896137647,277.54,115.88,66.5469,13162,31289,3.766,103.5,339.8,1108.2,0.3018,1.9324,4.0795,,18.3524,106.92,1.368363437,8.2546,0.3845,104.5985,3.369,46.565,3.8869,3.64,64.8306,3.75,1.3575,,145.4175,8.5393,0.9787,34.779,6.6902,2.20947,3.6725,0.750131273,1,29.13
07-Sep-16,109.0677,1.302422506,0.376,9.975,10.58201058,3.2446,1.3475,1.2895,669.49,6.6646,2887.64,24.041,6.6246,0.889917238,275.22,114.69,66.3618,13086,31287,3.766,101.45,337.57,1105,0.3012,1.9324,4.061,35.3191,18.3689,106.46,1.347890551,8.1822,0.3845,104.5904,3.356,46.597,3.8515,3.64,64.3804,3.75,1.3475,14.02275,145.4175,8.4636,0.9684,34.583,6.7253,2.20381,3.6725,0.747328301,1,29.235
08-Sep-16,108.801,1.299038711,0.376,9.975,10.54852321,3.2446,1.3474,1.2909,660.95,6.6634,2840.38,23.921,6.589,0.885269122,273.68,114.37,66.4483,13090,31291,3.749,101.66,337.16,1093.2,0.3012,1.9324,4.059,35.2733,18.5427,106.22,1.338329764,8.14,0.3845,104.4189,3.368,46.554,3.8255,3.64,63.973,3.75,1.3474,13.9233,145.4333,8.4258,0.9676,34.674,6.7281,2.19839,3.6725,0.747831289,1,29.192
09-Sep-16,109.0099,1.306847883,0.376,9.975,10.72961373,3.1928,1.3516,1.3033,661.93,6.6795,2846.13,23.975,6.6053,0.887468939,273.89,114.58,66.5462,13089,,3.754,102.25,337.41,1093.2,0.3012,1.9324,4.0625,35.2916,18.8451,106.27,1.350621286,8.2064,0.3845,104.392,3.382,46.837,3.8385,3.64,64.1617,3.75,1.3516,14.3865,145.4214,8.4439,0.9744,34.772,6.7298,2.19271,3.6725,0.75103267,1,29.294
12-Sep-16,109.2189,1.327492367,0.376,9.975,10.77586207,3.2632,,1.3077,670.61,6.6797,2899.29,24.074,6.6305,0.890789239,276.3,114.83,66.9017,,,3.771,102.63,337.41,1099.5,,1.9324,,35.2661,19.0646,,1.365933616,8.2588,0.3845,,3.399,,3.8668,3.64,65.0539,3.75,,14.4811,,8.4896,0.9753,34.888,6.738,,3.6725,0.753863551,1,29.236
13-Sep-16,109.1945,1.326963907,0.376,9.975,10.74113856,3.2848,1.3579,1.3167,674.18,6.6797,2942.29,24.031,6.6184,0.889125989,275.94,114.7,,13151,31323,3.772,101.9,337.64,1110.6,,1.9324,4.104,35.3072,19.152,107.1,1.362212233,8.208,0.3845,,3.411,47.098,3.8734,3.64,64.8102,3.75,1.3579,14.3359,145.1558,8.5045,0.9719,34.866,6.7138,,3.6725,0.753579503,1,29.027
14-Sep-16,109.1508,1.336898396,0.376,9.975,10.71811361,3.2966,1.3662,1.3189,672.97,6.6716,2976.19,24.083,6.6359,0.891424496,275.97,114.8,66.9642,13228,31349,3.786,103.1,338.86,,,1.9324,4.1305,35.334,19.2275,107.07,1.379120121,8.2678,0.3845,,,47.437,3.8716,3.64,64.9737,3.75,1.3662,14.321,145.2978,8.5104,0.9755,34.948,6.7129,,3.6725,0.757633154,1,
15-Sep-16,109.0342,1.338867318,0.376,9.975,10.66098081,3.3256,1.3654,1.3146,674.93,,2972.65,24.017,6.6166,0.888572952,276.18,114.63,67.0248,13190,31347,3.779,102.49,339.5,,0.3014,1.9324,4.1285,35.3286,19.2514,106.99,1.374948439,8.2325,0.3845,104.6101,3.385,47.543,3.8587,3.64,65.217,3.75,1.3654,14.32095,145.5983,8.5232,0.9735,34.906,6.6995,2.20135,3.6725,0.756200847,1,28.824
16-Sep-16,109.2588,1.331380642,0.376,9.975,10.68376068,3.332,1.3626,1.3213,671.36,,2938.5,24.073,6.6338,0.890789239,275.64,114.7,66.8804,13131,,3.762,101.95,339.5,,0.3014,1.9324,,35.3136,,107.15,1.367240908,8.2509,0.3845,104.6442,3.392,47.571,3.8497,3.64,64.994,3.75,1.3626,14.154,,8.4887,0.9752,34.832,6.7086,2.19903,3.6725,0.759243793,1,28.481
19-Sep-16,109.3609,1.325556734,0.376,9.975,10.61571125,3.2998,1.3642,1.3181,,6.6692,2956.58,24.197,6.6729,0.895656068,275.64,115.22,66.8737,13164,31377,3.775,,339.35,1112.3,0.30175,1.9324,4.1315,35.3434,19.6097,107.17,1.370989855,8.2853,0.3845,104.6386,3.387,47.726,3.8586,3.64,64.9173,3.75,1.3642,14.02995,145.8126,8.5677,0.9811,34.86,6.7109,2.20533,3.6725,0.766283525,1,28.452
20-Sep-16,109.458,1.325908247,0.376,9.975,10.54852321,3.263,1.3634,1.3228,674.67,6.6708,2928.18,24.16,6.6631,0.894134478,275.95,115.14,67.02,13142,,3.776,101.92,339.4,1120,0.30165,1.9324,4.144,35.382,19.777,107.1,1.368176221,8.284,0.3845,104.5672,3.386,47.868,3.8438,3.64,64.7513,3.75,1.3634,13.8692,145.75,8.5451,0.9779,34.83,6.7118,2.20966,3.6725,0.771069473,1,28.45
21-Sep-16,109.5358,1.323626737,0.376,9.975,10.51524711,3.2534,1.3614,1.3186,672.73,6.6716,2911.11,24.232,6.6857,0.896860987,276.79,114.87,67.0631,13148,31410,3.778,101.78,338.96,1119.5,0.30185,1.9324,4.1505,35.3998,19.8394,107.24,1.367240908,8.2796,0.3845,104.7545,3.374,47.855,3.8601,3.64,64.4424,3.75,1.3614,13.71195,145.7706,8.6031,0.9765,34.793,6.7245,2.20806,3.6725,0.769349131,1,28.487
