Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Bolivar Soberano   (VES)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
02-Jul-18,117.7383,1.354646437,0.376,,,,3.9049,1.3646,,,6.6561,,22.343,6.4012,0.859180342,283.47,106.33,68.6227,14331,42625,3.661,111,341.62,1117.2,0.3026,1.9324,4.04,34.5556,20.1453,109.55,1.474926254,8.1635,0.3845,,3.285,53.404,3.7703,3.64,63.1394,3.75,1.3646,13.80455,158.3634,8.99,0.9927,33.126,6.7519,2.64015,3.6725,0.759647524,1,31.599
03-Jul-18,117.564,1.358695652,0.376,114712.5,,10.40582726,3.8914,1.3721,1.3154,651.21,6.6637,2930.8,22.356,6.3871,0.857265324,281.34,106.94,68.6935,14418,42700,3.655,111,343,1117.4,0.3027,1.9324,4.049,34.5182,19.5974,110.08,1.491869312,8.1144,0.3845,121.5559,,53.39,3.7723,3.64,63.2194,3.75,1.3721,13.705,158.4435,8.9205,0.9934,33.243,6.7309,2.63951,3.6725,0.75832259,1,31.446
05-Jul-18,117.4003,1.355380862,0.376,,,10.33057851,3.9186,1.3659,1.3129,653.2,6.6416,2909.83,,6.3632,0.854043898,277.29,106.76,68.7545,14387,42850,3.626,110.38,343.38,1115.3,0.30255,1.9324,4.0455,34.4535,19.2513,109.98,1.4781966,8.063,0.3845,121.5628,3.287,53.343,3.7485,3.64,63.2604,3.75,1.3659,13.53585,158.5859,8.7464,0.99245,33.218,6.7427,2.64194,3.6725,0.75503039,1,31.375
06-Jul-18,117.464,1.349892009,0.376,114712.5,,10.31991744,3.9258,1.3655,1.3105,655.29,6.6506,2885.53,,6.3569,0.852951211,276.73,106.63,68.8757,14409,,3.636,110.7,,1118.4,0.30255,1.9324,4.0465,34.3575,19.0719,110.32,1.474056604,8.054,0.3845,121.5522,3.282,53.41,3.7222,3.64,63.1216,3.75,1.3655,13.5638,158.8105,8.7628,0.99285,33.209,6.7545,2.63961,3.6725,0.755543803,1,31.495
09-Jul-18,117.3584,1.339225927,0.376,114712.5,,10.24590164,3.868,1.3559,1.3097,657.33,6.6201,2867.94,21.934,6.3223,0.848248367,274.15,106.41,68.6573,14332,,3.618,110.48,343.48,1117.8,0.3023,1.9324,4.032,,19.1563,110.2,1.461774594,7.992,0.3845,121.5589,3.28,53.412,3.685,3.64,62.8338,3.75,1.3559,13.3336,159.0784,8.7038,0.98785,33.11,,2.63779,3.6725,0.75001875,1,31.409
10-Jul-18,117.5542,1.341021859,0.376,114712.5,,10.28806584,3.8446,1.3547,1.3125,651.74,6.6169,2881.09,22.113,6.3635,0.853752241,277.41,107.02,68.7942,14326,43010,3.642,110.99,343.25,1112.3,0.3024,1.9324,4.0085,34.1987,19.0559,109.94,1.459640928,8.0377,0.3845,121.5562,3.269,53.359,3.6973,3.64,62.4442,3.75,1.3547,,159.2333,8.7327,0.9952,33.125,6.7583,2.63818,3.6725,0.755715095,1,31.303
11-Jul-18,117.5436,1.349892009,0.376,119700,,10.29866117,3.8411,1.3592,1.3151,650.43,6.6535,2872.62,22.099,6.352,0.852151683,277.24,107.07,68.829,14391,43100,3.638,110.88,343.11,1113.8,0.3024,1.9324,4.03,34.168,18.9632,110.13,1.46713615,8.0493,0.3845,121.5549,3.276,53.464,3.7,3.64,62.098,3.75,1.3592,,159.3281,8.7792,0.99455,33.261,6.7657,2.64223,3.6725,0.755001888,1,31.374
12-Jul-18,117.7922,1.354279523,0.376,119700,,10.29866117,3.8558,1.3627,1.3166,652.37,6.6683,2880.1,22.25,6.3951,0.857780065,278.57,107.39,68.6313,14435,43190,3.652,112.28,344.37,1120.8,0.3027,1.9324,4.0405,34.2328,18.8241,110.04,1.480823338,8.1011,0.3845,121.5526,3.271,53.516,3.7055,3.64,62.2062,3.75,1.3627,,159.3652,8.805,0.99865,33.301,6.7749,2.6451,3.6725,0.757690559,1,31.352
13-Jul-18,117.9668,1.348435814,0.376,119700,,10.27749229,3.8739,1.3635,1.3171,648.05,6.6809,2882.02,22.262,6.4034,0.858885167,279.16,107.69,68.4094,14358,,3.643,112.7,343.45,1127.8,0.3027,1.9324,4.04,34.2503,18.8854,109.72,1.475361464,8.1448,0.3845,121.5533,3.268,53.524,3.7244,3.64,62.2934,3.75,1.3635,13.3203,159.3721,8.9024,1.0059,33.251,6.7563,2.65,3.6725,0.761759665,1,31.354
16-Jul-18,117.5595,1.344809037,0.376,119700,,,3.8573,,1.3137,,6.6928,2861.7,22.082,6.3608,0.853242321,275.34,106.94,68.5877,14396,43350,3.641,,342.49,1123.4,0.3027,1.9324,4.0485,34.268,18.836,109.64,1.477541371,8.0879,0.3845,127.9911,3.265,53.47,3.6828,3.64,62.2556,3.75,1.3644,13.19525,159.4635,8.859,0.99845,33.294,6.7498,2.65979,3.6725,0.753125471,1,31.277
