Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-May-20,,1.54822728,,,,,,,,,,,,3.491,107.1,,,,,,1.638806949,,,,,,3.64,,,,,,,,,,0.796717524,1,
04-May-20,128.5773,1.566906926,12.25490196,5.5811,1.4172,1.4085,837.92,,3932.72,24.785,6.8198,0.913909706,75.7902,3.527,,1218.5,0.30855,4.3385,40.1895,24.3812,1.658649859,10.3528,0.3845,3.383,50.444,4.1646,3.64,,3.75,1.4172,18.7056,9.9052,0.9647,,6.7457,3.6725,0.806029098,1,42.744
05-May-20,128.6896,1.54822728,12.12121212,5.5348,1.4137,1.4032,838.74,,3990.1,24.888,6.8811,0.922253989,75.5715,3.524,,,0.30855,4.31,40.1926,23.8343,1.649892757,10.3043,0.3845,3.388,50.576,4.1927,3.64,,3.75,1.4137,18.335,9.8377,0.97095,32.381,6.6932,3.6725,0.803212851,1,42.536
06-May-20,128.6847,1.550628004,12.13592233,5.667,1.4175,1.4124,832.84,7.0915,3926.07,24.971,6.9046,0.925326177,75.6911,3.511,,1227.8,0.3088,4.311,40.204,24.2942,1.651800463,10.2619,0.3845,3.403,50.544,4.2022,3.64,73.9719,3.75,1.4175,18.5406,9.8131,0.9739,,6.7571,3.6725,0.808146113,1,43.117
07-May-20,128.8528,1.556178027,12.22493888,5.8359,,1.4015,839.08,7.0899,3961.66,25.181,6.9188,0.9273857,,3.516,106.26,1223.3,0.3089,,40.2056,24.0563,1.663063363,10.2388,0.3845,3.404,50.556,4.2162,3.64,74.1169,3.75,,18.557,9.8161,0.9757,32.447,6.7571,3.6725,0.808472795,1,44.161
08-May-20,128.8191,1.531393568,12.16545012,5.7647,1.412,1.3934,836.27,7.0779,3924.54,,,0.922253989,75.4411,,106.4,1226.5,,,40.1299,23.6805,1.63345312,10.2089,,3.394,50.514,4.2065,,73.8725,,1.412,18.4716,9.7886,0.97075,32.28,6.7511,,,1,44.062
11-May-20,128.7463,1.528350909,12.09189843,5.7948,,1.4012,827.65,7.083,3882.27,25.498,6.8916,0.923872875,75.6838,3.518,106.94,1217.7,0.3088,,40.1263,23.8693,1.62575191,10.2051,0.3845,3.418,50.458,4.2126,3.64,,3.75,1.4119,18.43435,9.7799,0.9723,32.15,6.7676,3.6725,0.81191897,1,43.625
12-May-20,128.836,1.543924656,12.18026797,5.7717,1.4185,1.4015,826.05,7.0907,3901.34,25.254,6.8684,0.920979923,75.7944,3.507,107.51,1217.8,0.30905,4.345,40.227,24.0487,1.649892757,10.1785,0.3845,3.421,50.348,4.2095,3.64,73.4326,3.75,1.4185,18.19205,9.8519,0.97055,32.143,6.7792,3.6725,0.809749383,1,43.584
13-May-20,128.7518,1.544878727,12.13592233,5.9016,1.4173,1.4073,821.88,7.0946,3880.48,25.206,6.8557,0.91954023,75.3885,3.511,107.22,1226.7,0.3089,4.337,,24.2113,1.646090535,10.0579,0.3845,3.434,50.354,4.2111,3.64,73.5819,3.75,1.4173,18.32745,9.786,0.96885,32.082,6.7413,3.6725,0.813371833,1,43.915
14-May-20,128.8696,1.554243084,12.19512195,5.9366,1.4213,1.409,820.38,7.0975,3901.3,25.551,6.91,0.926612305,75.444,3.546,106.87,1226.3,0.30905,4.335,40.273,24.2708,1.675041876,10.2481,0.3845,3.45,50.282,4.2269,3.64,73.9298,3.75,1.4213,18.65185,9.8386,0.9743,32.106,6.7602,3.6725,0.8200082,1,44.098
