Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     ,Bolivar Soberano   (VES)                     
01-Jul-22,146.1505,1.464128843,,5.3136,1.3929,,932.08,6.7042,23.747,7.1358,0.959232614,79.094,3.526,135.98,1299.8,,4.409,45.4389,20.3817,1.605007624,9.9425,,3.843,54.97,4.5106,,53.7676,,1.3929,16.416,10.2905,0.96035,35.537,6.7569,,0.829462508,1,39.955,,,,,,,,,,,,,,
05-Jul-22,,1.454968718,12.37623762,5.3893,1.3964,1.3038,927.53,6.6977,,7.2299,0.971817298,79.079,3.519,136.13,1297.9,0.3068,4.417,45.5902,20.5598,1.606554743,9.9951,0.3845,3.856,55.09,4.5947,3.64,58.5118,,1.3964,16.4244,10.3851,0.9649,35.704,6.7554,3.6725,0.831739167,1,40.178,,,,,,,,,,,,,,
06-Jul-22,146.8157,1.474056604,12.53132832,5.4315,1.404,1.3047,948.51,6.707,,7.3109,0.982607841,79.332,3.513,135.68,1298,0.30715,4.425,45.5416,20.7228,1.619433198,10.1015,0.3845,3.878,55.084,4.6796,3.64,62.911,,1.404,16.7318,10.4908,0.9717,36.017,6.748,3.6725,0.839031757,1,40.228,,,,,,,,,,,,,,
07-Jul-22,147.1724,1.465845793,12.59445844,5.3634,1.4015,1.2986,972.66,6.7099,24.344,7.3089,0.982318271,79.0235,3.491,135.7,1307.4,0.3073,4.426,45.6079,20.6022,1.623244866,10.109,0.3845,3.881,55.574,4.7029,3.64,63.1427,,1.4015,16.72255,10.5345,0.97295,36.19,6.7669,3.6725,0.834028357,1,40.265,,,,,,,,,,,,,,
08-Jul-22,146.9144,1.465416178,12.59445844,5.308,,,959.7,6.7049,24.224,7.323,0.983961429,79.2499,3.48,136.02,1302.7,,4.4255,45.6478,20.4423,1.617076326,10.0984,,3.897,55.909,4.7417,,61.2664,,1.4017,16.92685,10.5879,0.9767,35.987,6.7677,,0.834202294,1,40.298,,,,,,,,,,,,,,
11-Jul-22,146.7904,1.467782181,12.67427123,5.3471,,1.3,966.74,6.7093,24.351,7.3692,0.990295108,79.4098,3.474,136.45,1299.3,,,45.5082,20.7473,1.621139661,10.199,,3.928,55.971,4.7416,,61.3045,,,,10.5945,0.98035,36.012,6.7613,,0.836260244,1,40.546,,,,,,,,,,,,,,
12-Jul-22,147.1624,1.488095238,12.77139208,5.4114,1.4068,1.3015,989.95,6.7355,24.476,7.4097,0.995817566,79.6401,3.484,137.15,1300.6,,4.4365,45.168,20.7882,1.634387513,10.2324,,3.965,,4.8284,,58.8541,,1.4068,17.0895,10.6538,0.98525,36.304,6.7178,3.6725,0.84420244,1,41.006,,,,,,,,,,,,,,
13-Jul-22,146.9768,1.476886723,12.72264631,5.3987,1.4062,1.2976,1008.81,6.72,24.244,7.3921,0.993344591,79.6592,,137.12,1312.9,,4.4315,,20.7613,1.630523398,10.1746,0.3845,,56.318,4.8221,3.64,58.5322,,1.4062,,10.6076,0.97745,,6.7588,3.6725,0.839278221,1,41.074,,,,,,,,,,,,,,
14-Jul-22,147.0635,1.479946722,12.7388535,5.4562,1.3956,1.3138,1010.16,6.7383,24.399,7.4388,0.99950025,79.871,3.472,138,1305.9,0.3078,4.4415,44.9104,20.9415,1.635724217,10.2485,0.3845,3.951,56.339,4.8274,3.64,58.2568,,1.3956,16.9311,10.5904,0.98405,36.363,6.7533,3.6725,0.845594453,1,41.951,,,,,,,,,,,,,,
15-Jul-22,,,,,,,,6.7651,,,0.994134606,,,138.9,,,,,,,,,,,,,,,,,,0.9796,,,,0.844630263,1,,,,,,,,,,,,,,,
