Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Bahrain dinar   (BHD)                     ,Bolivar Fuerte   (VEF)                     ,Bolivar Soberano   (VES)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Hungarian forint   (HUF)                     ,Icelandic krona   (ISK)                     ,Indian rupee   (INR)                     ,Indonesian rupiah   (IDR)                     ,Iranian rial   (IRR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Kazakhstani tenge   (KZT)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Libyan dinar   (LYD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,Nepalese rupee   (NPR)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Pakistani rupee   (PKR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Sri Lankan rupee   (LKR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,Tunisian dinar   (TND)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
02-Apr-18,114.088,,0.376,,,,3.3098,1.3107,1.2908,603.39,6.2785,2780.47,,,,,,65.0441,13750,,,106.32,319.24,1064.4,0.29975,1.9324,3.864,33.4437,18.2967,104.28,,,0.3845,115.5182,3.225,52.25,,3.64,57.285,3.75,1.3107,,155.8286,,0.9536,31.179,,2.4225,3.6725,0.711237553,1,28.351
03-Apr-18,114.2716,1.301236174,0.376,,,,3.3133,1.3102,1.2812,604.06,6.287,2792.96,20.608,6.0523,0.812479688,253.67,98.8,65.024,13765,37776,3.518,105.89,320.37,1058.1,0.29975,1.9324,3.8675,33.5091,18.2044,104.28,1.388310426,7.8273,0.3845,115.5598,3.225,52.135,3.4177,3.64,57.5375,3.75,1.3102,11.8153,155.3218,8.3918,0.9567,31.199,,2.42398,3.6725,0.712936228,1,28.276
04-Apr-18,114.1144,1.298701299,0.376,49353.8062,,9.587727709,3.3532,1.3107,1.2809,603.66,6.3025,2778.27,20.645,6.0687,0.814597589,253.85,98.96,65.0232,13760,37820,3.528,106.51,319.88,1057.8,0.29985,1.9324,3.865,33.5463,18.2244,104.02,1.374759417,7.8482,0.3845,115.582,3.227,52.026,3.4224,3.64,57.7646,3.75,1.3107,11.9026,155.4869,8.3875,0.9585,31.214,6.7438,2.42525,3.6725,0.712326816,1,28.299
05-Apr-18,114.3504,1.300390117,0.376,49353.8062,,9.606147935,3.319,1.3125,1.2776,604.81,,2791.57,20.655,6.0744,0.815660685,253.82,98.97,65.0601,13767,37819,3.537,106.94,319.68,1057.6,0.29995,1.9324,3.867,33.5664,18.1081,104.24,1.368176221,7.8201,0.3845,115.5965,3.226,52.059,3.4301,3.64,57.5796,3.75,1.3125,11.9406,156.0464,8.3983,0.9603,31.211,6.7461,2.4268,3.6725,0.711060547,1,28.242
06-Apr-18,114.3661,1.302592158,0.376,49353.8062,,9.643201543,3.366,1.317,1.2764,602.71,,2787.36,20.714,6.0875,0.817394147,254.85,99.07,64.9884,13771,,,107.17,319.66,1059.5,0.29995,1.9324,3.8715,33.6136,18.2888,103.93,1.375894331,7.8355,0.3845,115.5976,3.232,52.128,3.4315,3.64,57.8332,3.75,1.317,12.0507,155.5234,8.4474,0.9632,,6.7429,2.42928,3.6725,0.713521227,1,28.304
09-Apr-18,114.0776,1.300221038,0.376,49376.25,,9.652509653,3.3897,1.3127,1.2729,605.17,6.3091,2791.88,20.608,6.0524,0.812743823,253.95,98.88,64.9287,13771,37830,3.532,106.95,320.29,1066,0.29995,1.9324,3.863,33.7226,18.2753,103.95,1.371930306,7.7928,0.3845,115.5896,3.237,,3.4174,3.64,58.5714,3.75,1.3127,12.12815,155.5327,8.3822,0.9603,31.259,6.746,,3.6725,0.709043854,1,28.271
10-Apr-18,113.9587,1.293159188,0.376,49376.25,,9.624639076,3.4189,1.3108,1.2618,604.54,6.2949,2781.95,20.497,6.0244,0.808996036,252.82,98.46,64.9368,13759,42000,3.506,106.71,325.37,1067.5,0.29985,1.9324,3.8645,33.781,18.2882,104.04,1.366680333,7.8044,0.3845,115.6,3.238,52.084,3.4068,3.64,62.3699,3.75,1.3108,12.0522,155.5146,8.3507,0.9561,31.237,6.7571,2.4308,3.6725,0.706264567,1,28.235
11-Apr-18,113.8853,1.290489095,0.376,49376.25,,9.624639076,3.4046,1.3088,1.2584,601.99,6.2831,2767.82,20.449,6.0117,0.80749354,251.74,98.21,65.1272,13747,42000,3.518,107.09,330.88,1067.7,0.2997,1.9324,3.8705,33.742,18.2018,103.98,1.358142062,7.7691,0.3845,115.599,3.237,51.992,3.3859,3.64,64.0626,3.75,1.3088,12.08645,155.5679,8.2988,0.9581,31.185,6.7616,2.4298,3.6725,0.704572677,1,28.263
12-Apr-18,114.1371,1.290156109,0.376,49376.25,,9.606147935,3.3852,1.3095,1.2596,599.2,6.2809,2733.24,20.548,6.0416,0.811490708,252.12,99.06,65.3496,13763,42000,3.518,106.82,329.61,1066.4,0.2997,1.9324,3.8765,33.6444,18.1353,104.5,1.358142062,7.7881,0.3845,115.6973,3.228,51.935,3.3924,3.64,62.0659,3.75,1.3095,12.006,155.7097,8.3506,0.96265,31.161,6.775,2.42516,3.6725,0.704895499,1,28.276
13-Apr-18,114.0636,1.285347044,0.376,49376.25,,9.624639076,3.4099,1.3118,1.2597,596.96,6.2874,2710.03,20.545,6.0459,0.811886011,252.12,98.57,65.2226,13753,,3.506,107.33,327.29,1068.7,0.2997,1.9324,3.8795,33.6325,18.087,104.42,1.356300014,7.7651,0.3845,115.6051,,52.017,3.3862,3.64,61.4311,3.75,1.3118,12.04485,,8.4221,0.9622,,6.7465,2.42609,3.6725,0.700329155,1,28.256
